 08/20-09:16	2325.000	2329.000	2323.000	2326.000	           5416	      1.000	   2331.433	   2330.979	   2328.063	   2312.682	     -0.475	      0.046	      0.304	      0.000	
 08/20-09:17	2325.600	2325.600	2322.000	2325.000	           3227	      2.000	   2330.867	   2331.017	   2328.181	   2312.771	     -0.567	      0.037	      0.241	      0.000	
 08/20-09:18	2325.200	2329.800	2325.000	2329.000	           2816	      3.000	   2330.425	   2331.150	   2328.327	   2312.872	     -0.442	      0.133	      0.265	      0.000	
 08/20-09:19	2328.600	2329.000	2327.800	2328.600	           1492	      4.000	   2330.050	   2331.229	   2328.485	   2312.967	     -0.375	      0.079	      0.304	      0.000	
 08/20-09:20	2328.600	2329.600	2326.400	2327.600	           1629	      5.000	   2329.700	   2331.254	   2328.629	   2313.076	     -0.350	      0.025	      0.302	      0.000	
 08/20-09:21	2327.800	2330.200	2327.600	2328.600	           1699	      6.000	   2329.375	   2331.308	   2328.759	   2313.190	     -0.325	      0.054	      0.274	      0.000	
 08/20-09:22	2328.600	2330.200	2328.400	2329.000	           1621	      7.000	   2329.183	   2331.308	   2328.885	   2313.313	     -0.192	      0.000	      0.256	      0.000	
 08/20-09:23	2328.800	2329.800	2328.800	2329.200	            838	      8.000	   2328.967	   2331.367	   2328.994	   2313.433	     -0.217	      0.058	      0.234	      0.000	
 08/20-09:24	2329.200	2329.400	2327.800	2328.800	           1094	      9.000	   2328.708	   2331.433	   2329.102	   2313.548	     -0.258	      0.067	      0.217	      0.000	
 08/20-09:25	2328.800	2330.800	2328.600	2330.000	           2027	     10.000	   2328.558	   2331.504	   2329.232	   2313.652	     -0.150	      0.071	      0.239	      0.000	
 08/20-09:26	2330.000	2330.600	2328.600	2328.800	           1153	     11.000	   2328.358	   2331.517	   2329.357	   2313.752	     -0.200	      0.012	      0.255	      0.000	
 08/20-09:27	2329.000	2329.600	2328.600	2328.600	            808	     12.000	   2328.375	   2331.529	   2329.484	   2313.854	      0.017	      0.012	      0.252	      0.000	
 08/20-09:28	2328.600	2330.400	2327.200	2329.600	           1841	     13.000	   2328.433	   2331.558	   2329.618	   2313.963	      0.058	      0.029	      0.260	      0.000	
 08/20-09:29	2329.600	2330.400	2328.200	2329.400	           1026	     14.000	   2328.425	   2331.571	   2329.746	   2314.064	     -0.008	      0.012	      0.261	      0.000	
 08/20-09:30	2329.600	2330.200	2328.600	2328.600	            964	     15.000	   2328.400	   2331.521	   2329.819	   2314.176	     -0.025	     -0.050	      0.201	      0.000	
 08/20-09:31	2329.400	2333.000	2329.000	2332.600	           2698	     16.000	   2328.533	   2331.538	   2329.910	   2314.311	      0.134	      0.017	      0.165	      0.000	
 08/20-09:32	2332.400	2334.400	2331.000	2333.400	           3583	     17.000	   2328.767	   2331.575	   2330.002	   2314.443	      0.233	      0.037	      0.183	      0.000	
 08/20-09:33	2333.400	2335.200	2332.600	2334.600	           2819	     18.000	   2329.017	   2331.675	   2330.106	   2314.573	      0.250	      0.100	      0.196	      0.000	
 08/20-09:34	2334.800	2335.800	2334.400	2334.600	           2685	     19.000	   2329.233	   2331.717	   2330.212	   2314.702	      0.217	      0.042	      0.210	      0.000	
 08/20-09:35	2334.400	2335.400	2332.600	2333.600	           2601	     20.000	   2329.458	   2331.762	   2330.319	   2314.821	      0.225	      0.046	      0.213	      0.000	
