 06/25-09:27	2121.200	2124.000	2116.200	2121.200	           3634	     12.000	   2136.113	   2149.103	   2168.903	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/25-09:28	2121.200	2122.600	2119.400	2120.000	           1397	     13.000	   2135.267	   2148.177	   2168.162	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/25-09:29	2120.400	2121.800	2120.000	2121.600	           1008	     14.000	   2134.641	   2147.287	   2167.427	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/25-09:30	2121.200	2122.400	2117.800	2117.800	           2070	     15.000	   2133.753	   2146.403	   2166.652	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/25-09:31	2118.000	2122.000	2117.200	2121.200	           3579	     16.000	   2132.860	   2145.594	   2165.913	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/25-09:32	2121.800	2130.600	2121.800	2126.800	           6711	     17.000	   2132.193	   2144.933	   2165.240	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      1.000	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/25-09:33	2126.400	2126.400	2122.600	2123.000	           2954	     18.000	   2131.406	   2144.277	   2164.532	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/25-09:34	2123.000	2123.000	2118.000	2121.600	           4466	     19.000	   2130.526	   2143.616	   2163.778	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/25-09:35	2122.400	2125.400	2119.200	2125.200	           3009	     20.000	   2129.741	   2142.980	   2163.055	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/25-09:36	2125.800	2133.000	2124.600	2132.600	           8439	     21.000	   2129.253	   2142.467	   2162.415	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	           	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
