 07/30-09:39	2162.800	2166.400	2161.600	2164.600	           3644	     24.000	   2162.113	   2152.352	   2145.034	   2147.573	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      2.488	      0.000	      0.000	      0.000	
 07/30-09:40	2164.600	2169.000	2164.400	2166.000	           4091	     25.000	   2162.479	   2152.760	   2145.305	   2147.642	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      3.521	      0.000	      0.000	      0.000	
 07/30-09:41	2165.600	2166.200	2159.600	2162.000	           4489	     26.000	   2162.600	   2153.119	   2145.530	   2147.699	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -0.600	      0.000	      0.000	      0.000	
 07/30-09:42	2162.000	2162.000	2159.800	2161.000	           3283	     27.000	   2162.721	   2153.469	   2145.759	   2147.759	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -1.721	      0.000	      0.000	      0.000	
 07/30-09:43	2160.600	2165.800	2160.400	2160.800	           3789	     28.000	   2162.733	   2153.815	   2145.994	   2147.811	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -1.933	      0.000	      0.000	      0.000	
 07/30-09:44	2160.800	2162.000	2158.600	2159.400	           2748	     29.000	   2162.708	   2154.133	   2146.222	   2147.858	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -3.308	      0.000	      0.000	      0.000	
 07/30-09:45	2159.400	2161.800	2159.200	2161.800	           2296	     30.000	   2162.646	   2154.490	   2146.492	   2147.902	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -0.846	      0.000	      0.000	      0.000	
 07/30-09:46	2161.800	2162.200	2154.000	2157.200	           7733	     31.000	   2162.575	   2154.760	   2146.702	   2147.955	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -5.375	      0.000	      0.000	      0.000	
 07/30-09:47	2157.200	2157.800	2156.200	2156.400	           2807	     32.000	   2162.479	   2154.990	   2146.902	   2147.999	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -6.079	      0.000	      0.000	      0.000	
 07/30-09:48	2156.400	2157.000	2155.400	2156.400	           2415	     33.000	   2162.379	   2155.227	   2147.093	   2148.018	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -5.979	      0.000	      0.000	      0.000	
 07/30-09:49	2156.000	2159.600	2155.800	2158.600	           3395	     34.000	   2162.454	   2155.510	   2147.292	   2148.049	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -3.854	      0.000	      0.000	      0.000	
