 05/23-09:35	2592.800	2594.600	2592.600	2594.400	           3124	   2591.700	   2592.483	   2596.992	   2598.221	   2601.433	     -3.000	     -2.000	     -1.000	     -7.033	      0.000	      0.000	      1.000	   3124.000	   3760.200	   2655.700	   2592.483	   2596.992	   2598.221	   2601.433	
 05/23-09:36	2594.400	2594.800	2593.200	2593.800	           4042	   2592.700	   2592.250	   2596.900	   2598.192	   2601.399	     -3.000	     -2.000	     -1.000	     -7.599	      0.000	      0.000	      1.000	   4042.000	   4028.200	   2884.800	   2592.250	   2596.900	   2598.192	   2601.399	
 05/23-09:37	2594.000	2595.000	2593.600	2593.800	           2415	   2593.500	   2591.967	   2596.800	   2598.158	   2601.370	     -3.000	     -2.000	     -1.000	     -7.570	      0.000	      0.000	      1.000	   2415.000	   3834.400	   3033.700	   2591.967	   2596.800	   2598.158	   2601.370	
 05/23-09:38	2593.800	2594.000	2591.400	2591.600	           3553	   2593.400	   2591.667	   2596.667	   2598.100	   2601.329	     -3.000	     -2.000	     -1.000	     -9.729	      0.000	      0.000	      1.000	   3553.000	   3222.800	   3149.700	   2591.667	   2596.667	   2598.100	   2601.329	
 05/23-09:39	2591.400	2597.800	2591.200	2597.200	           5562	   2594.200	   2591.517	   2596.600	   2598.087	   2601.309	     -3.000	     -2.000	     -1.000	     -4.109	      0.000	      0.000	      1.000	   5562.000	   3739.200	   3590.300	   2591.517	   2596.600	   2598.087	   2601.309	
 05/23-09:40	2596.600	2597.800	2595.000	2597.800	           2784	   2594.900	   2591.400	   2596.533	   2598.067	   2601.301	     -3.000	     -2.000	     -1.000	     -3.501	      0.000	      0.000	      1.000	   2784.000	   3671.200	   3715.700	   2591.400	   2596.533	   2598.067	   2601.301	
 05/23-09:41	2597.600	2598.000	2595.800	2596.400	           2427	   2595.300	   2591.233	   2596.442	   2598.017	   2601.309	     -3.000	     -2.000	     -1.000	     -4.909	      0.000	      0.000	      1.000	   2427.000	   3348.200	   3688.200	   2591.233	   2596.442	   2598.017	   2601.309	
 05/23-09:42	2596.400	2596.600	2595.200	2596.200	           2043	   2595.900	   2591.050	   2596.367	   2597.971	   2601.320	     -3.000	     -2.000	     -1.000	     -5.120	      0.000	      0.000	      1.000	   2043.000	   3273.800	   3554.100	   2591.050	   2596.367	   2597.971	   2601.320	
 05/23-09:43	2596.200	2597.200	2593.400	2593.600	           3460	   2596.200	   2590.767	   2596.275	   2597.892	   2601.325	     -3.000	     -2.000	     -1.000	     -7.725	      0.000	      0.000	      1.000	   3460.000	   3255.200	   3239.000	   2590.767	   2596.275	   2597.892	   2601.325	
 05/23-09:44	2593.400	2596.000	2592.600	2595.800	           2544	   2596.000	   2590.550	   2596.217	   2597.837	   2601.328	     -3.000	     -2.000	     -1.000	     -5.528	      0.000	      0.000	      1.000	   2544.000	   2651.600	   3195.400	   2590.550	   2596.217	   2597.837	   2601.328	
 05/23-09:45	2595.600	2597.400	2595.200	2596.600	           2129	   2595.700	   2590.367	   2596.158	   2597.800	   2601.336	     -3.000	     -2.000	     -1.000	     -4.736	      0.000	      0.000	      1.000	   2129.000	   2520.600	   3095.900	   2590.367	   2596.158	   2597.800	   2601.336	
 05/23-09:46	2596.800	2596.800	2590.600	2590.600	           5172	   2594.600	   2590.450	   2596.017	   2597.704	   2601.318	     -3.000	     -2.000	     -1.000	    -10.718	      0.000	      0.000	      0.000	   5172.000	   3069.600	   3208.900	   2590.450	   2596.017	   2597.704	   2601.318	
 05/23-09:47	2590.400	2592.200	2586.200	2588.000	           7203	   2592.900	   2590.417	   2595.808	   2597.575	   2601.284	     -3.000	     -2.000	     -1.000	    -13.284	      0.000	      0.000	      1.000	   7203.000	   4101.600	   3687.700	   2590.417	   2595.808	   2597.575	   2601.284	
 05/23-09:48	2588.600	2592.000	2588.400	2591.000	           4214	   2592.400	   2590.450	   2595.608	   2597.475	   2601.266	     -3.000	     -2.000	     -1.000	    -10.266	      0.000	      0.000	      0.000	   4214.000	   4252.400	   3753.800	   2590.450	   2595.608	   2597.475	   2601.266	
 05/23-09:49	2591.200	2592.200	2587.400	2587.400	           4207	   2590.700	   2590.300	   2595.358	   2597.367	   2601.228	     -3.000	     -2.000	     -1.000	    -13.828	      0.000	      0.000	      1.000	   4207.000	   4585.000	   3618.300	   2590.300	   2595.358	   2597.367	   2601.228	
 05/23-09:50	2588.000	2589.000	2586.400	2587.000	           4543	   2588.800	   2590.250	   2595.083	   2597.254	   2601.196	     -3.000	     -2.000	     -1.000	    -14.196	      0.000	      0.000	      1.000	   4543.000	   5067.800	   3794.200	   2590.250	   2595.083	   2597.254	   2601.196	
 05/23-09:51	2587.200	2589.600	2587.000	2588.400	           2644	   2588.400	   2590.400	   2594.850	   2597.167	   2601.165	     -3.000	     -2.000	     -1.000	    -12.765	      0.000	      0.000	      0.000	   2644.000	   4562.200	   3815.900	   2590.400	   2594.850	   2597.167	   2601.165	
 05/23-09:52	2588.000	2588.000	2585.200	2586.200	           4021	   2588.000	   2590.433	   2594.567	   2597.058	   2601.117	     -3.000	     -2.000	     -1.000	    -14.917	      0.000	      0.000	      0.000	   4021.000	   3925.800	   4013.700	   2590.433	   2594.567	   2597.058	   2601.117	
 05/23-09:53	2586.400	2588.800	2586.000	2586.000	           2615	   2587.000	   2590.500	   2594.275	   2596.938	   2601.065	     -3.000	     -2.000	     -1.000	    -15.065	      0.000	      0.000	      0.000	   2615.000	   3606.000	   3929.200	   2590.500	   2594.275	   2596.938	   2601.065	
 05/23-09:54	2586.200	2587.400	2585.400	2586.400	           2664	   2586.800	   2590.533	   2594.000	   2596.792	   2601.016	     -3.000	     -2.000	     -1.000	    -14.616	      0.000	      0.000	      0.000	   2664.000	   3297.400	   3941.200	   2590.533	   2594.000	   2596.792	   2601.016	
 05/23-09:55	2586.000	2592.000	2586.000	2591.000	           5002	   2587.600	   2590.783	   2593.792	   2596.692	   2601.000	     -3.000	     -2.000	     -1.000	    -10.000	      0.000	      0.000	      0.000	   5002.000	   3389.200	   4228.500	   2590.783	   2593.792	   2596.692	   2601.000	
 05/23-09:56	2591.000	2591.000	2589.600	2590.200	           1731	   2587.900	   2590.933	   2593.567	   2596.571	   2600.972	     -3.000	     -2.000	     -1.000	    -10.772	      0.000	      0.000	      0.000	   1731.000	   3206.600	   3884.400	   2590.933	   2593.567	   2596.571	   2600.972	
 05/23-09:57	2590.400	2591.000	2589.000	2590.600	           2155	   2588.800	   2591.117	   2593.367	   2596.467	   2600.930	     -3.000	     -2.000	     -1.000	    -10.330	      0.000	      0.000	      0.000	   2155.000	   2833.400	   3379.600	   2591.117	   2593.367	   2596.467	   2600.930	
 05/23-09:58	2590.400	2592.600	2589.000	2591.000	           3008	   2589.800	   2591.250	   2593.175	   2596.371	   2600.896	     -3.000	     -2.000	     -1.000	     -9.896	      0.000	      0.000	      0.000	   3008.000	   2912.000	   3259.000	   2591.250	   2593.175	   2596.371	   2600.896	
 05/23-09:59	2591.400	2591.600	2590.200	2591.200	           1541	   2590.800	   2591.417	   2593.000	   2596.275	   2600.865	     -3.000	     -2.000	     -1.000	     -9.665	      0.000	      0.000	      0.000	   1541.000	   2687.400	   2992.400	   2591.417	   2593.000	   2596.275	   2600.865	
 05/23-10:00	2591.000	2592.600	2590.200	2592.200	           2462	   2591.000	   2591.617	   2592.825	   2596.175	   2600.828	     -3.000	     -2.000	     -1.000	     -8.628	      0.000	      0.000	      0.000	   2462.000	   2179.400	   2784.300	   2591.617	   2592.825	   2596.175	   2600.828	
 05/23-10:01	2592.400	2592.400	2590.200	2591.200	           1944	   2591.300	   2591.700	   2592.675	   2596.067	   2600.786	     -3.000	     -2.000	     -1.000	     -9.586	      0.000	      0.000	      0.000	   1944.000	   2222.000	   2714.300	   2591.700	   2592.675	   2596.067	   2600.786	
 05/23-10:02	2591.200	2591.200	2589.000	2589.800	           2188	   2591.100	   2591.700	   2592.483	   2595.954	   2600.736	     -3.000	     -2.000	     -1.000	    -10.936	      0.000	      0.000	      1.000	   2188.000	   2228.600	   2531.000	   2591.700	   2592.483	   2595.954	   2600.736	
 05/23-10:03	2590.200	2590.200	2587.800	2589.000	           2175	   2590.700	   2591.583	   2592.275	   2595.829	   2600.677	     -3.000	     -2.000	     -1.000	    -11.677	      0.000	      0.000	      1.000	   2175.000	   2062.000	   2487.000	   2591.583	   2592.275	   2595.829	   2600.677	
 05/23-10:04	2589.000	2590.800	2589.000	2589.800	           1524	   2590.400	   2591.483	   2592.092	   2595.712	   2600.618	     -3.000	     -2.000	     -1.000	    -10.818	      0.000	      0.000	      1.000	   1524.000	   2058.600	   2373.000	   2591.483	   2592.092	   2595.712	   2600.618	
 05/23-10:05	2589.600	2589.800	2587.800	2589.200	           1827	   2589.800	   2591.300	   2591.892	   2595.633	   2600.553	     -3.000	     -2.000	     -1.000	    -11.353	      0.000	      0.000	      1.000	   1827.000	   1931.600	   2055.500	   2591.300	   2591.892	   2595.633	   2600.553	
 05/23-10:06	2587.800	2589.000	2587.400	2588.000	           1948	   2589.100	   2591.100	   2591.675	   2595.533	   2600.483	     -3.000	     -2.000	     -1.000	    -12.483	      0.000	      0.000	      1.000	   1948.000	   1932.400	   2077.200	   2591.100	   2591.675	   2595.533	   2600.483	
 05/23-10:07	2588.400	2588.600	2587.000	2587.800	           1902	   2588.800	   2590.917	   2591.442	   2595.442	   2600.417	     -3.000	     -2.000	     -1.000	    -12.617	      0.000	      0.000	      1.000	   1902.000	   1875.200	   2051.900	   2590.917	   2591.442	   2595.442	   2600.417	
 05/23-10:08	2587.600	2588.000	2585.600	2586.400	           2522	   2588.300	   2590.733	   2591.200	   2595.325	   2600.346	     -3.000	     -2.000	     -1.000	    -13.946	      0.000	      0.000	      1.000	   2522.000	   1944.600	   2003.300	   2590.733	   2591.200	   2595.325	   2600.346	
 05/23-10:09	2586.000	2586.600	2583.800	2584.000	           3892	   2587.100	   2590.300	   2590.908	   2595.192	   2600.272	     -3.000	     -2.000	     -1.000	    -16.272	      0.000	      0.000	      1.000	   3892.000	   2418.200	   2238.400	   2590.300	   2590.908	   2595.192	   2600.272	
 05/23-10:10	2584.200	2586.800	2584.000	2586.200	           4063	   2586.500	   2589.900	   2590.650	   2595.096	   2600.209	     -3.000	     -2.000	     -1.000	    -14.009	      0.000	      0.000	      1.000	   4063.000	   2865.400	   2398.500	   2589.900	   2590.650	   2595.096	   2600.209	
 05/23-10:11	2586.200	2587.000	2586.000	2586.200	           1916	   2586.100	   2589.567	   2590.400	   2595.000	   2600.144	     -3.000	     -2.000	     -1.000	    -13.944	      0.000	      0.000	      1.000	   1916.000	   2859.000	   2395.700	   2589.567	   2590.400	   2595.000	   2600.144	
 05/23-10:12	2586.400	2588.600	2585.600	2588.400	           2975	   2586.200	   2589.300	   2590.175	   2594.925	   2600.096	     -3.000	     -2.000	     -1.000	    -11.696	      0.000	      0.000	      1.000	   2975.000	   3073.600	   2474.400	   2589.300	   2590.175	   2594.925	   2600.096	
 05/23-10:13	2588.400	2589.200	2588.200	2588.600	           2249	   2586.600	   2589.133	   2589.950	   2594.858	   2600.041	     -3.000	     -2.000	     -1.000	    -11.441	      0.000	      0.000	      1.000	   2249.000	   3019.000	   2481.800	   2589.133	   2589.950	   2594.858	   2600.041	
 05/23-10:14	2588.400	2589.600	2588.000	2589.200	           1790	   2587.700	   2588.917	   2589.733	   2594.788	   2599.985	     -3.000	     -2.000	     -1.000	    -10.785	      0.000	      0.000	      1.000	   1790.000	   2598.600	   2508.400	   2588.917	   2589.733	   2594.788	   2599.985	
 05/23-10:15	2589.200	2589.200	2586.600	2586.800	           1972	   2587.800	   2588.583	   2589.475	   2594.708	   2599.914	     -3.000	     -2.000	     -1.000	    -13.114	      0.000	      0.000	      1.000	   1972.000	   2180.400	   2522.900	   2588.583	   2589.475	   2594.708	   2599.914	
 05/23-10:16	2587.000	2588.400	2586.600	2587.200	           1376	   2588.100	   2588.483	   2589.467	   2594.629	   2599.847	     -3.000	     -2.000	     -1.000	    -12.647	      0.000	      0.000	      1.000	   1376.000	   2072.400	   2465.700	   2588.483	   2589.467	   2594.629	   2599.847	
 05/23-10:17	2587.400	2587.400	2585.600	2587.200	           2124	   2587.800	   2588.450	   2589.433	   2594.563	   2599.776	     -3.000	     -2.000	     -1.000	    -12.576	      0.000	      0.000	      1.000	   2124.000	   1902.200	   2487.900	   2588.450	   2589.433	   2594.563	   2599.776	
 05/23-10:18	2587.200	2588.600	2586.400	2586.400	           1669	   2587.400	   2588.300	   2589.375	   2594.496	   2599.690	     -3.000	     -2.000	     -1.000	    -13.290	      0.000	      0.000	      1.000	   1669.000	   1786.200	   2402.600	   2588.300	   2589.375	   2594.496	   2599.690	
 05/23-10:19	2586.600	2586.600	2582.400	2583.000	           6294	   2586.100	   2588.150	   2589.225	   2594.379	   2599.598	     -3.000	     -2.000	     -1.000	    -16.598	      0.000	      0.000	      1.000	   6294.000	   2687.000	   2642.800	   2588.150	   2589.225	   2594.379	   2599.598	
 05/23-10:20	2582.800	2585.600	2582.600	2584.000	           3351	   2585.600	   2588.050	   2589.150	   2594.292	   2599.510	     -3.000	     -2.000	     -1.000	    -15.510	      0.000	      0.000	      1.000	   3351.000	   2962.800	   2571.600	   2588.050	   2589.150	   2594.292	   2599.510	
