 05/20-09:34	2578.200	2581.400	2576.400	2581.400	           3925	   2579.000	   2578.204	   2575.890	   2563.892	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      1.000	
 05/20-09:35	2581.000	2581.800	2578.200	2578.600	           2045	   2579.067	   2578.217	   2576.004	   2563.972	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:36	2578.400	2580.200	2578.000	2578.200	           1571	   2579.117	   2578.221	   2576.117	   2564.064	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:37	2578.200	2580.200	2576.800	2580.200	           2176	   2579.242	   2578.254	   2576.246	   2564.159	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:38	2579.800	2582.000	2579.200	2581.800	           2286	   2579.408	   2578.308	   2576.379	   2564.254	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:39	2581.800	2582.600	2581.000	2582.000	           1988	   2579.592	   2578.363	   2576.523	   2564.362	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:40	2581.800	2581.800	2580.400	2580.600	            897	   2579.733	   2578.400	   2576.650	   2564.472	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:41	2580.800	2583.800	2578.800	2583.800	           2871	   2579.967	   2578.488	   2576.792	   2564.591	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:42	2583.800	2583.800	2581.800	2583.000	           2322	   2580.183	   2578.558	   2576.938	   2564.711	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:43	2583.200	2584.600	2583.000	2583.800	           2601	   2580.417	   2578.646	   2577.079	   2564.837	      1.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:44	2584.000	2584.800	2581.600	2584.000	           2399	   2580.667	   2578.750	   2577.212	   2564.951	      1.000	      1.000	      0.000	      1.000	      1.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:45	2584.200	2584.200	2581.600	2583.000	           1873	   2580.883	   2578.842	   2577.329	   2565.066	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:46	2583.200	2584.000	2579.800	2580.000	           2262	   2580.983	   2578.887	   2577.404	   2565.167	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:47	2579.800	2580.600	2578.800	2579.800	           2456	   2581.042	   2578.921	   2577.462	   2565.267	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:48	2579.800	2580.000	2578.200	2578.600	           1869	   2581.050	   2578.950	   2577.535	   2565.373	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:49	2578.200	2579.800	2577.600	2578.600	           2296	   2581.058	   2578.971	   2577.613	   2565.469	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:50	2578.600	2579.200	2576.000	2576.600	           2524	   2580.992	   2578.958	   2577.671	   2565.548	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      1.000	
 05/20-09:51	2576.600	2578.400	2576.200	2577.600	           2125	   2580.900	   2578.971	   2577.742	   2565.650	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:52	2577.800	2578.600	2577.200	2577.400	           1387	   2580.767	   2578.975	   2577.808	   2565.754	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:53	2577.400	2577.600	2575.600	2576.200	           2661	   2580.633	   2578.962	   2577.869	   2565.857	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      1.000	
 05/20-09:54	2576.000	2577.000	2576.000	2576.400	           1363	   2580.483	   2578.954	   2577.904	   2565.960	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:55	2576.200	2578.200	2576.000	2578.000	           1918	   2580.450	   2578.971	   2577.946	   2566.070	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:56	2578.200	2579.000	2577.400	2577.800	           1478	   2580.417	   2578.988	   2577.988	   2566.178	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:57	2577.800	2581.200	2577.600	2581.000	           3034	   2580.433	   2579.058	   2578.040	   2566.302	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/20-09:58	2581.000	2581.200	2580.200	2580.600	           1557	   2580.383	   2579.121	   2578.065	   2566.416	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
