 11/04-09:26	2403.600	2406.200	2403.600	2404.400	           2837	     11.000	           	           	   2393.414	   2391.180	   2387.073	           	           	      0.573	      0.237	      0.485	      0.000	     11.000	   2403.875	      0.344	   2393.414	   2391.180	   2387.073	           	      0.000	      0.000	           	      6.340	      0.000	           	           	      0.962	           	      2.233	           	     10.986	      0.000	      0.000	      0.000	      0.000	      0.344	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:27	2404.600	2405.600	2403.600	2405.400	           1688	     12.000	           	           	   2394.046	   2391.440	   2387.323	           	           	      0.632	      0.260	      0.493	      0.000	     12.000	   2404.531	      0.656	   2394.046	   2391.440	   2387.323	           	      0.000	      0.000	           	      6.723	      0.000	           	           	      0.975	           	      2.606	           	     11.354	      0.000	      0.000	      0.000	      0.000	      0.656	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:28	2405.600	2407.800	2404.800	2406.800	           3146	     13.000	           	           	   2394.687	   2391.743	   2387.597	           	           	      0.641	      0.303	      0.523	      0.000	     13.000	   2405.531	      1.000	   2394.687	   2391.743	   2387.597	           	      0.000	      0.000	           	      7.090	      0.000	           	           	      1.008	           	      2.943	           	     12.114	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:29	2406.800	2408.400	2406.800	2407.600	           2916	     14.000	           	           	   2395.347	   2392.043	   2387.875	           	           	      0.660	      0.300	      0.552	      0.000	     14.000	   2406.594	      1.063	   2395.347	   2392.043	   2387.875	           	      0.000	      0.000	           	      7.472	      0.000	           	           	      1.045	           	      3.304	           	     12.253	      0.000	      0.000	      1.000	      0.000	      1.063	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:30	2407.600	2409.600	2407.400	2407.800	           4650	     15.000	           	           	   2396.053	   2392.357	   2388.155	           	           	      0.706	      0.313	      0.558	      0.000	     15.000	   2407.406	      0.813	   2396.053	   2392.357	   2388.155	           	      0.000	      0.000	           	      7.898	      0.000	           	           	      1.082	           	      3.697	           	     11.747	      0.000	      0.000	      0.000	      0.000	      0.813	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:31	2407.400	2407.800	2405.200	2405.200	           3352	     16.000	           	           	   2396.640	   2392.630	   2388.392	           	           	      0.586	      0.273	      0.517	      0.000	     16.000	   2406.865	     -0.542	   2396.640	   2392.630	   2388.392	           	      1.000	      0.000	           	      8.248	      0.000	           	           	      1.068	           	      4.010	           	      8.560	      0.000	      0.000	      0.000	      0.000	     -0.542	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:32	2405.200	2407.400	2405.200	2405.400	           2130	     17.000	           	           	   2397.227	   2392.917	   2388.658	           	           	      0.587	      0.287	      0.503	      0.000	     17.000	   2406.135	     -0.729	   2397.227	   2392.917	   2388.658	           	      0.000	      0.000	           	      8.569	      0.000	           	           	      1.062	           	      4.310	           	      8.173	      0.000	      0.000	      0.000	      0.000	     -0.729	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:33	2405.800	2406.400	2405.000	2406.000	           2122	     18.000	           	           	   2397.840	   2393.233	   2388.927	           	           	      0.613	      0.317	      0.535	      0.000	     18.000	   2405.531	     -0.604	   2397.840	   2393.233	   2388.927	           	      0.000	      0.000	           	      8.913	      0.000	           	           	      1.052	           	      4.606	           	      8.160	      0.000	      0.000	      0.000	      0.000	     -0.604	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:34	2406.400	2408.800	2404.600	2405.200	           3958	     19.000	           	           	   2398.426	   2393.536	   2389.192	           	           	      0.586	      0.303	      0.533	      0.000	     19.000	   2405.531	      0.000	   2398.426	   2393.536	   2389.192	           	      0.000	      0.000	           	      9.234	      0.000	           	           	      1.037	           	      4.890	           	      6.774	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:35	2405.400	2406.200	2405.000	2405.600	           2064	     20.000	           	           	   2399.033	   2393.857	   2389.453	           	           	      0.607	      0.320	      0.527	      0.000	     20.000	   2405.604	      0.073	   2399.033	   2393.857	   2389.453	           	      0.000	      1.000	           	      9.580	      0.000	           	           	      1.062	           	      5.177	           	      6.567	      0.000	      0.000	      0.000	      0.000	      0.073	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:36	2405.400	2405.600	2403.000	2403.200	           2833	     21.000	           	           	   2399.547	   2394.103	   2389.700	           	           	      0.513	      0.246	      0.508	      0.000	     21.000	   2404.667	     -0.938	   2399.547	   2394.103	   2389.700	           	      1.000	      0.000	           	      9.847	      0.000	           	           	      1.042	           	      5.444	           	      3.653	      0.000	      0.000	      0.000	      0.000	     -0.938	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:37	2403.200	2404.400	2402.800	2403.800	           2476	     22.000	           	           	   2400.087	   2394.364	   2389.953	           	           	      0.541	      0.260	      0.500	      0.000	     22.000	   2404.208	     -0.458	   2400.087	   2394.364	   2389.953	           	      0.000	      0.000	           	     10.134	      0.000	           	           	      1.027	           	      5.724	           	      3.713	      0.000	      0.000	      0.000	      0.000	     -0.458	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:38	2404.000	2404.000	2399.400	2400.000	           4567	     23.000	           	           	   2400.494	   2394.547	   2390.158	           	           	      0.406	      0.183	      0.458	      0.000	     23.000	   2402.333	     -1.875	   2400.494	   2394.547	   2390.158	           	      0.000	      0.000	           	     10.335	      0.000	           	           	      0.967	           	      5.947	           	     -0.494	      0.000	      0.000	      0.000	      1.000	     -1.875	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:39	2399.800	2400.000	2395.400	2396.400	           7744	     24.000	           	           	   2400.720	   2394.660	   2390.342	           	           	      0.226	      0.113	      0.388	      0.000	     24.000	   2400.063	     -2.271	   2400.720	   2394.660	   2390.342	           	      0.000	      0.000	           	     10.378	      0.000	           	           	      0.888	           	      6.060	           	     -4.320	      0.000	      0.000	      0.000	      1.000	     -2.271	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:40	2396.600	2400.400	2396.400	2400.000	           4321	     25.000	           	           	   2401.086	   2394.810	   2390.553	           	           	      0.367	      0.150	      0.395	      0.000	     25.000	   2398.792	     -1.271	   2401.086	   2394.810	   2390.553	           	      0.000	      0.000	           	     10.533	      0.000	           	           	      0.853	           	      6.277	           	     -1.086	      0.000	      0.000	      0.000	      0.000	     -1.271	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:41	2400.400	2400.400	2397.200	2398.200	           3059	     26.000	           	           	   2401.386	   2394.950	   2390.753	           	           	      0.300	      0.140	      0.412	      0.000	     26.000	   2398.198	     -0.594	   2401.386	   2394.950	   2390.753	           	      0.000	      0.000	           	     10.633	      0.000	           	           	      0.800	           	      6.437	           	     -3.187	      0.000	      0.000	      0.000	      0.000	     -0.594	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/04-09:42	2398.600	2401.000	2397.600	2401.000	           2775	     27.000	           	           	   2401.767	   2395.133	   2390.973	           	           	      0.380	      0.183	      0.420	      0.000	     27.000	   2399.740	      1.542	   2401.767	   2395.133	   2390.973	           	      0.000	      1.000	           	     10.793	      0.000	           	           	      0.815	           	      6.633	           	     -0.767	      0.000	      0.000	      0.000	      0.000	      1.542	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
