 08/29-09:26	2340.800	2341.200	2338.600	2340.200	           3084	     11.000	   2326.079	   2327.071	   2331.397	   2325.770	      0.587	      0.031	      0.278	      0.000	     11.000	   2339.875	   2326.079	   2327.071	   2331.397	   2325.770	      1.301	      1.000	      5.318	      0.000	      5.627	      0.000	      0.199	      0.580	      5.627	     -0.992	     14.430	     14.121	      0.000	      0.000	      0.000	      0.000	      1.333	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:27	2340.400	2341.200	2338.800	2339.600	           2058	     12.000	   2326.633	   2327.081	   2331.519	   2325.822	      0.554	      0.010	      0.260	      0.000	     12.000	   2340.208	   2326.633	   2327.081	   2331.519	   2325.822	      1.260	      1.000	      4.885	      0.000	      5.697	      0.000	      0.217	      0.554	      5.697	     -0.448	     13.778	     12.967	      0.000	      0.000	      0.000	      0.000	      0.333	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:28	2339.600	2343.000	2339.600	2341.200	           3944	     13.000	   2327.233	   2327.167	   2331.656	   2325.872	      0.600	      0.085	      0.259	      0.000	     13.000	   2340.333	   2327.233	   2327.167	   2331.656	   2325.872	      1.361	      1.000	      4.490	      0.000	      5.784	      0.000	      0.216	      0.538	      5.784	      0.067	     15.328	     13.967	      0.000	      0.000	      0.000	      0.000	      0.125	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:29	2341.200	2342.400	2340.000	2340.600	           2108	     14.000	   2327.800	   2327.256	   2331.775	   2325.916	      0.567	      0.090	      0.256	      0.000	     14.000	   2340.458	   2327.800	   2327.256	   2331.775	   2325.916	      1.884	      0.000	      4.519	      0.000	      5.859	      0.000	      0.203	      0.516	      5.859	      0.544	     14.684	     12.800	      0.000	      0.000	      0.000	      0.000	      0.125	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:30	2340.600	2343.200	2339.600	2341.200	           3604	     15.000	   2328.421	   2327.415	   2331.908	   2325.963	      0.621	      0.158	      0.252	      0.000	     15.000	   2341.000	   2328.421	   2327.415	   2331.908	   2325.963	      2.458	      0.000	      4.494	      0.000	      5.945	      0.000	      0.194	      0.511	      5.945	      1.006	     15.237	     12.779	      0.000	      0.000	      0.000	      0.000	      0.542	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:31	2341.400	2341.800	2339.000	2341.000	           2973	     16.000	   2329.096	   2327.577	   2332.032	   2326.008	      0.675	      0.163	      0.257	      0.000	     16.000	   2340.958	   2329.096	   2327.577	   2332.032	   2326.008	      3.088	      0.000	      4.455	      0.000	      6.024	      0.000	      0.187	      0.513	      6.024	      1.519	     14.992	     11.904	      0.000	      0.000	      0.000	      0.000	     -0.042	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:32	2341.600	2343.800	2338.400	2339.400	           4229	     17.000	   2329.696	   2327.715	   2332.132	   2326.054	      0.600	      0.137	      0.224	      1.000	     17.000	   2340.542	   2329.696	   2327.715	   2332.132	   2326.054	      3.641	      0.000	      4.418	      0.000	      6.078	      0.000	      0.182	      0.476	      6.078	      1.981	     13.345	      9.704	      0.000	      0.000	      0.000	      0.000	     -0.417	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:33	2339.200	2342.400	2338.000	2338.400	           3979	     18.000	   2330.254	   2327.823	   2332.231	   2326.091	      0.558	      0.108	      0.199	      0.000	     18.000	   2339.583	   2330.254	   2327.823	   2332.231	   2326.091	      4.163	      0.000	      4.408	      0.000	      6.140	      0.000	      0.175	      0.456	      6.140	      2.431	     12.309	      8.146	      0.000	      0.000	      0.000	      0.000	     -0.958	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:34	2338.600	2340.600	2336.800	2337.400	           4125	     19.000	   2330.846	   2327.994	   2332.298	   2326.127	      0.592	      0.171	      0.166	      0.000	     19.000	   2338.375	   2330.846	   2327.994	   2332.298	   2326.127	      4.719	      0.000	      4.304	      0.000	      6.171	      0.000	      0.164	      0.389	      6.171	      2.852	     11.273	      6.554	      0.000	      0.000	      0.000	      0.000	     -1.208	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:35	2337.600	2337.600	2335.600	2335.600	           4095	     20.000	   2331.379	   2328.113	   2332.350	   2326.161	      0.533	      0.119	      0.119	      0.000	     20.000	   2337.125	   2331.379	   2328.113	   2332.350	   2326.161	      5.219	      0.000	      4.238	      0.000	      6.189	      0.000	      0.152	      0.318	      6.189	      3.267	      9.439	      4.221	      0.000	      0.000	      0.000	      0.000	     -1.250	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:36	2335.400	2338.600	2335.200	2335.600	           3705	     21.000	   2331.896	   2328.188	   2332.408	   2326.195	      0.517	      0.075	      0.111	      0.000	     21.000	   2336.208	   2331.896	   2328.188	   2332.408	   2326.195	      5.700	      0.000	      4.221	      0.000	      6.213	      0.000	      0.141	      0.276	      6.213	      3.708	      9.405	      3.704	      0.000	      0.000	      0.000	      0.000	     -0.917	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:37	2335.400	2339.000	2334.400	2339.000	           4484	     22.000	   2332.554	   2328.348	   2332.516	   2326.248	      0.658	      0.160	      0.166	      0.000	     22.000	   2336.750	   2332.554	   2328.348	   2332.516	   2326.248	      6.306	      0.000	      4.206	      0.000	      6.268	      0.000	      0.157	      0.284	      6.268	      4.206	     12.752	      6.446	      0.000	      0.000	      0.000	      0.000	      0.542	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:38	2339.000	2339.000	2337.000	2337.200	           2122	     23.000	   2333.158	   2328.467	   2332.615	   2326.309	      0.604	      0.119	      0.206	      0.000	     23.000	   2337.250	   2333.158	   2328.467	   2332.615	   2326.309	      6.850	      0.000	      4.692	      0.000	      6.306	      0.000	      0.182	      0.317	      6.306	      4.692	     10.891	      4.042	      0.000	      0.000	      0.000	      0.000	      0.500	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:39	2337.000	2337.400	2335.400	2335.400	           2640	     24.000	   2333.688	   2328.533	   2332.688	   2326.372	      0.529	      0.067	      0.173	      0.000	     24.000	   2337.208	   2333.688	   2328.533	   2332.688	   2326.372	      7.315	      0.000	      5.154	      0.000	      6.316	      0.000	      0.212	      0.338	      6.316	      5.154	      9.028	      1.712	      0.000	      0.000	      0.000	      0.000	     -0.042	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:40	2335.400	2336.200	2332.400	2332.800	           5188	     25.000	   2334.142	   2328.554	   2332.728	   2326.480	      0.454	      0.021	      0.114	      0.000	     25.000	   2335.125	   2334.142	   2328.554	   2332.728	   2326.480	      7.662	      0.000	      5.587	      0.000	      6.248	      0.000	      0.285	      0.320	      6.248	      5.587	      6.320	     -1.342	      0.000	      0.000	      0.000	      1.000	     -2.083	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:41	2332.800	2334.400	2332.400	2334.200	           2636	     26.000	   2334.550	   2328.567	   2332.767	   2326.602	      0.408	      0.012	      0.078	      0.000	     26.000	   2334.167	   2334.550	   2328.567	   2332.767	   2326.602	      7.948	      0.000	      5.983	      0.000	      6.165	      0.000	      0.354	      0.251	      6.165	      5.983	      7.598	     -0.350	      0.000	      0.000	      0.000	      1.000	     -0.958	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:42	2334.000	2334.000	2331.800	2332.200	           3065	     27.000	   2334.892	   2328.619	   2332.775	   2326.703	      0.342	      0.052	      0.047	      0.000	     27.000	   2333.042	   2334.892	   2328.619	   2332.775	   2326.703	      8.189	      0.000	      6.273	      0.000	      6.072	      0.000	      0.394	      0.160	      6.072	      6.273	      5.497	     -2.692	      0.000	      0.000	      0.000	      1.000	     -1.125	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:43	2332.200	2334.000	2332.200	2333.000	           2277	     28.000	   2335.258	   2328.683	   2332.768	   2326.805	      0.367	      0.065	      0.001	      0.000	     28.000	   2333.125	   2335.258	   2328.683	   2332.768	   2326.805	      8.454	      0.000	      6.575	      0.000	      5.963	      0.000	      0.432	      0.079	      5.963	      6.575	      6.195	     -2.258	      0.000	      0.000	      0.000	      0.000	      0.083	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:44	2333.200	2334.400	2331.000	2334.400	           2784	     29.000	   2335.671	   2328.796	   2332.768	   2326.914	      0.413	      0.113	     -0.007	      0.000	     29.000	   2333.167	   2335.671	   2328.796	   2332.768	   2326.914	      8.757	      0.000	      6.875	      0.000	      5.854	      0.000	      0.434	      0.040	      5.854	      6.875	      7.486	     -1.271	      0.000	      0.000	      0.000	      0.000	      0.042	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:45	2334.600	2336.400	2334.400	2336.400	           4066	     30.000	   2336.129	   2328.927	   2332.727	   2327.018	      0.458	      0.131	     -0.041	      0.000	     30.000	   2334.625	   2336.129	   2328.927	   2332.727	   2327.018	      9.111	      0.000	      7.202	      0.000	      5.709	      0.000	      0.416	     -0.040	      5.709	      7.202	      9.382	      0.271	      0.000	      0.000	      0.000	      0.000	      1.458	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:46	2335.800	2336.400	2334.800	2335.800	           2129	     31.000	   2336.333	   2329.104	   2332.711	   2327.097	      0.204	      0.177	     -0.056	      0.000	     31.000	   2335.542	   2336.333	   2329.104	   2332.711	   2327.097	      9.237	      0.000	      7.229	      0.000	      5.615	      0.000	      0.394	     -0.063	      5.615	      7.229	      8.703	     -0.533	      0.000	      0.000	      0.000	      0.000	      0.917	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:47	2335.600	2337.000	2335.000	2336.200	           2644	     32.000	   2336.554	   2329.315	   2332.700	   2327.165	      0.221	      0.210	     -0.027	      0.000	     32.000	   2336.167	   2336.554	   2329.315	   2332.700	   2327.165	      9.389	      0.000	      7.240	      0.000	      5.535	      0.000	      0.360	     -0.068	      5.535	      7.240	      9.035	     -0.354	      0.000	      0.000	      0.000	      0.000	      0.625	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:48	2336.200	2338.800	2336.000	2338.200	           3073	     33.000	   2336.767	   2329.544	   2332.717	   2327.246	      0.212	      0.229	      0.005	      0.000	     33.000	   2336.708	   2336.767	   2329.544	   2332.717	   2327.246	      9.520	      0.000	      7.223	      0.000	      5.470	      0.000	      0.332	     -0.051	      5.470	      7.223	     10.954	      1.433	      0.000	      0.000	      0.000	      0.000	      0.542	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:49	2338.400	2338.400	2334.200	2334.400	           3705	     34.000	   2336.867	   2329.667	   2332.684	   2327.317	      0.100	      0.123	     -0.016	      0.000	     34.000	   2336.250	   2336.867	   2329.667	   2332.684	   2327.317	      9.549	      0.000	      7.200	      0.000	      5.367	      0.000	      0.300	     -0.043	      5.367	      7.200	      7.083	     -2.467	      0.000	      0.000	      0.000	      1.000	     -0.458	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:50	2334.200	2334.200	2330.600	2331.600	           5818	     35.000	   2336.821	   2329.796	   2332.664	   2327.367	     -0.046	      0.129	     -0.053	      0.000	     35.000	   2334.708	   2336.821	   2329.796	   2332.664	   2327.367	      9.454	      0.000	      7.025	      0.000	      5.297	      0.000	      0.270	     -0.048	      5.297	      7.025	      4.233	     -5.221	      0.000	      0.000	      0.000	      1.000	     -1.542	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:51	2331.800	2332.000	2330.000	2330.000	           4050	     36.000	   2336.704	   2330.017	   2332.630	   2327.420	     -0.117	      0.221	     -0.054	      0.000	     36.000	   2332.000	   2336.704	   2330.017	   2332.630	   2327.420	      9.284	      0.000	      6.688	      0.000	      5.210	      0.000	      0.255	     -0.070	      5.210	      6.688	      2.580	     -6.704	      0.000	      0.000	      0.000	      1.000	     -2.708	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:52	2330.000	2330.000	2324.200	2327.000	           8651	     37.000	   2336.454	   2330.127	   2332.530	   2327.455	     -0.250	      0.111	     -0.133	      0.000	     37.000	   2329.542	   2336.454	   2330.127	   2332.530	   2327.455	      8.999	      0.000	      6.327	      0.000	      5.075	      0.000	      0.209	     -0.186	      5.075	      6.327	     -0.455	     -9.454	      0.000	      0.000	      0.000	      1.000	     -2.458	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
