 07/17-09:40	2296.000	2297.400	2295.200	2297.000	           1570	     25.000	   2300.762	   2301.923	   2297.772	   2289.976	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -3.762	      0.000	      0.000	
 07/17-09:41	2296.600	2297.000	2291.600	2293.800	           3285	     26.000	   2300.321	   2301.873	   2297.728	   2290.015	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -6.521	      0.000	      0.000	
 07/17-09:42	2293.600	2294.000	2291.800	2293.400	           2309	     27.000	   2299.800	   2301.863	   2297.675	   2290.051	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -6.400	      0.000	      0.000	
 07/17-09:43	2293.000	2294.000	2291.000	2294.000	           2923	     28.000	   2299.325	   2301.850	   2297.646	   2290.095	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -5.325	      0.000	      0.000	
 07/17-09:44	2294.000	2296.600	2294.000	2296.400	           2341	     29.000	   2299.021	   2301.865	   2297.652	   2290.156	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -2.621	      0.000	      0.000	
 07/17-09:45	2296.000	2296.400	2294.200	2294.400	           1476	     30.000	   2298.667	   2301.815	   2297.658	   2290.210	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -4.267	      0.000	      0.000	
 07/17-09:46	2294.600	2295.800	2291.600	2294.000	           2088	     31.000	   2298.462	   2301.756	   2297.664	   2290.263	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -4.462	      0.000	      0.000	
 07/17-09:47	2293.800	2295.400	2292.000	2292.000	           1739	     32.000	   2298.175	   2301.637	   2297.627	   2290.309	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -6.175	      0.000	      0.000	
 07/17-09:48	2292.400	2293.800	2288.800	2290.600	           3885	     33.000	   2297.796	   2301.494	   2297.572	   2290.351	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -7.196	      0.000	      0.000	
 07/17-09:49	2290.600	2291.600	2288.200	2290.600	           2861	     34.000	   2297.379	   2301.369	   2297.579	   2290.376	           	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -6.779	      0.000	      0.000	
