 05/21-09:26	2596.200	2597.600	2596.000	2596.800	            981	   2595.346	   2597.700	   2599.198	   2596.888	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2597.550	   2595.346	   2597.700	   2599.198	   2596.888	     -0.088	     -3.000	     -1.000	      0.000	   2597.550	   2595.346	   2597.700	   2599.198	   2596.888	     -0.088	     -3.000	     -1.000	      0.000	   2597.550	   2595.346	   2597.700	   2599.198	   2596.888	     -0.088	     -3.000	     -1.000	      0.000	   2597.550	   2595.346	   2597.700	   2599.198	   2596.888	     -0.088	     -3.000	     -1.000	      0.000	
 05/21-09:27	2597.000	2597.000	2595.800	2596.000	           1053	   2595.392	   2597.567	   2599.140	   2596.952	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2596.950	   2595.392	   2597.567	   2599.140	   2596.952	     -0.952	     -3.000	     -1.000	      0.000	   2596.950	   2595.392	   2597.567	   2599.140	   2596.952	     -0.952	     -3.000	     -1.000	      0.000	   2596.950	   2595.392	   2597.567	   2599.140	   2596.952	     -0.952	     -3.000	     -1.000	      0.000	   2596.950	   2595.392	   2597.567	   2599.140	   2596.952	     -0.952	     -3.000	     -1.000	      0.000	
 05/21-09:28	2596.200	2598.000	2596.000	2597.400	           1018	   2595.475	   2597.450	   2599.085	   2597.029	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2596.900	   2595.475	   2597.450	   2599.085	   2597.029	      0.371	     -3.000	     -1.000	      0.000	   2596.900	   2595.475	   2597.450	   2599.085	   2597.029	      0.371	     -3.000	     -1.000	      0.000	   2596.900	   2595.475	   2597.450	   2599.085	   2597.029	      0.371	     -3.000	     -1.000	      0.000	   2596.900	   2595.475	   2597.450	   2599.085	   2597.029	      0.371	     -3.000	     -1.000	      0.000	
 05/21-09:29	2597.000	2597.000	2595.000	2595.200	           1385	   2595.467	   2597.290	   2599.026	   2597.096	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2596.325	   2595.467	   2597.290	   2599.026	   2597.096	     -1.896	     -3.000	     -1.000	      0.000	   2596.325	   2595.467	   2597.290	   2599.026	   2597.096	     -1.896	     -3.000	     -1.000	      0.000	   2596.325	   2595.467	   2597.290	   2599.026	   2597.096	     -1.896	     -3.000	     -1.000	      0.000	   2596.325	   2595.467	   2597.290	   2599.026	   2597.096	     -1.896	     -3.000	     -1.000	      0.000	
 05/21-09:30	2595.200	2596.200	2594.200	2594.200	           1285	   2595.475	   2597.106	   2598.961	   2597.163	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2595.925	   2595.475	   2597.106	   2598.961	   2597.163	     -2.963	     -3.000	     -2.000	      0.000	   2595.925	   2595.475	   2597.106	   2598.961	   2597.163	     -2.963	     -3.000	     -2.000	      0.000	   2595.925	   2595.475	   2597.106	   2598.961	   2597.163	     -2.963	     -3.000	     -2.000	      0.000	   2595.925	   2595.475	   2597.106	   2598.961	   2597.163	     -2.963	     -3.000	     -2.000	      0.000	
 05/21-09:31	2594.400	2596.600	2590.800	2595.800	           4888	   2595.554	   2596.935	   2598.925	   2597.236	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2595.725	   2595.554	   2596.935	   2598.925	   2597.236	     -1.436	     -3.000	     -2.000	      0.000	   2595.725	   2595.554	   2596.935	   2598.925	   2597.236	     -1.436	     -3.000	     -2.000	      0.000	   2595.725	   2595.554	   2596.935	   2598.925	   2597.236	     -1.436	     -3.000	     -2.000	      0.000	   2595.725	   2595.554	   2596.935	   2598.925	   2597.236	     -1.436	     -3.000	     -2.000	      0.000	
 05/21-09:32	2596.000	2596.800	2595.600	2596.200	           1962	   2595.613	   2596.798	   2598.877	   2597.311	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2595.775	   2595.613	   2596.798	   2598.877	   2597.311	     -1.111	     -3.000	     -2.000	      0.000	   2595.775	   2595.613	   2596.798	   2598.877	   2597.311	     -1.111	     -3.000	     -2.000	      0.000	   2595.775	   2595.613	   2596.798	   2598.877	   2597.311	     -1.111	     -3.000	     -2.000	      0.000	   2595.775	   2595.613	   2596.798	   2598.877	   2597.311	     -1.111	     -3.000	     -2.000	      0.000	
 05/21-09:33	2596.200	2596.200	2594.400	2596.200	           1388	   2595.667	   2596.658	   2598.828	   2597.391	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2595.500	   2595.667	   2596.658	   2598.828	   2597.391	     -1.191	     -3.000	     -2.000	      0.000	   2595.500	   2595.667	   2596.658	   2598.828	   2597.391	     -1.191	     -3.000	     -2.000	      0.000	   2595.500	   2595.667	   2596.658	   2598.828	   2597.391	     -1.191	     -3.000	     -2.000	      0.000	   2595.500	   2595.667	   2596.658	   2598.828	   2597.391	     -1.191	     -3.000	     -2.000	      0.000	
 05/21-09:34	2596.200	2598.400	2596.200	2597.600	           2502	   2595.738	   2596.533	   2598.792	   2597.477	      1.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2596.000	   2595.738	   2596.533	   2598.792	   2597.477	      0.123	     -3.000	     -2.000	      0.000	   2596.000	   2595.738	   2596.533	   2598.792	   2597.477	      0.123	     -3.000	     -2.000	      0.000	   2596.000	   2595.738	   2596.533	   2598.792	   2597.477	      0.123	     -3.000	     -2.000	      0.000	   2596.000	   2595.738	   2596.533	   2598.792	   2597.477	      0.123	     -3.000	     -2.000	      0.000	
 05/21-09:35	2597.600	2599.000	2597.200	2598.400	           2040	   2595.867	   2596.442	   2598.748	   2597.556	      1.000	      1.000	      0.000	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2596.825	   2595.867	   2596.442	   2598.748	   2597.556	      0.844	     -3.000	     -2.000	      0.000	   2596.825	   2595.867	   2596.442	   2598.748	   2597.556	      0.844	     -3.000	     -2.000	      0.000	   2596.825	   2595.867	   2596.442	   2598.748	   2597.556	      0.844	     -3.000	     -2.000	      0.000	   2596.825	   2595.867	   2596.442	   2598.748	   2597.556	      0.844	     -3.000	     -2.000	      0.000	
 05/21-09:36	2598.200	2598.400	2597.000	2597.400	           1315	   2595.954	   2596.333	   2598.714	   2597.635	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2597.175	   2595.954	   2596.333	   2598.714	   2597.635	     -0.236	     -3.000	     -2.000	      0.000	   2597.175	   2595.954	   2596.333	   2598.714	   2597.635	     -0.236	     -3.000	     -2.000	      0.000	   2597.175	   2595.954	   2596.333	   2598.714	   2597.635	     -0.236	     -3.000	     -2.000	      0.000	   2597.175	   2595.954	   2596.333	   2598.714	   2597.635	     -0.236	     -3.000	     -2.000	      0.000	
 05/21-09:37	2597.400	2599.400	2596.600	2598.200	           1875	   2596.100	   2596.235	   2598.684	   2597.706	      1.000	      1.000	      0.000	      1.000	      0.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2597.550	   2596.100	   2596.235	   2598.684	   2597.706	      0.494	     -3.000	     -2.000	      0.000	   2597.550	   2596.100	   2596.235	   2598.684	   2597.706	      0.494	     -3.000	     -2.000	      0.000	   2597.550	   2596.100	   2596.235	   2598.684	   2597.706	      0.494	     -3.000	     -2.000	      0.000	   2597.550	   2596.100	   2596.235	   2598.684	   2597.706	      0.494	     -3.000	     -2.000	      0.000	
 05/21-09:38	2598.000	2598.000	2595.400	2595.400	           2044	   2596.125	   2596.090	   2598.633	   2597.764	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2597.400	   2596.125	   2596.090	   2598.633	   2597.764	     -2.365	     -2.000	     -2.000	      0.000	   2597.400	   2596.125	   2596.090	   2598.633	   2597.764	     -2.365	     -2.000	     -2.000	      0.000	   2597.400	   2596.125	   2596.090	   2598.633	   2597.764	     -2.365	     -2.000	     -2.000	      0.000	   2597.400	   2596.125	   2596.090	   2598.633	   2597.764	     -2.365	     -2.000	     -2.000	      0.000	
