 05/10-09:16	2511.800	2516.200	2511.800	2515.200	           6650	   2523.027	   2519.554	   2515.529	           	
 05/10-09:17	2515.200	2517.800	2515.000	2516.600	           2289	   2522.880	   2519.710	   2515.542	           	
 05/10-09:18	2516.600	2516.800	2515.600	2516.800	           1548	   2522.740	   2519.870	   2515.568	           	
 05/10-09:19	2516.600	2516.600	2514.800	2515.200	           1545	   2522.513	   2519.977	   2515.590	           	
 05/10-09:20	2515.400	2516.400	2514.400	2514.800	           1274	   2522.220	   2520.077	   2515.622	           	
 05/10-09:21	2515.200	2515.200	2513.600	2513.600	           1681	   2521.954	   2520.144	   2515.668	           	
 05/10-09:22	2513.600	2513.800	2509.000	2509.800	           4237	   2521.614	   2520.136	   2515.670	           	
 05/10-09:23	2510.000	2512.200	2509.400	2510.800	           2274	   2521.253	   2520.167	   2515.675	           	
 05/10-09:24	2510.600	2511.000	2508.600	2509.400	           2144	   2520.833	   2520.150	   2515.657	           	
 05/10-09:25	2509.200	2512.400	2509.200	2511.400	           2013	   2520.433	   2520.140	   2515.663	           	
 05/10-09:26	2511.400	2511.600	2509.000	2509.200	           1926	   2519.914	   2520.020	   2515.642	           	
 05/10-09:27	2509.400	2512.400	2508.000	2512.200	           2260	   2519.506	   2519.910	   2515.653	           	
 05/10-09:28	2512.000	2513.000	2510.400	2511.400	           1468	   2519.073	   2519.823	   2515.655	           	
 05/10-09:29	2511.600	2512.600	2511.000	2511.600	            982	   2518.667	   2519.723	   2515.650	           	
 05/10-09:30	2511.400	2513.400	2511.400	2512.800	           1006	   2518.313	   2519.587	   2515.647	           	
 05/10-09:31	2512.400	2514.800	2510.600	2514.800	           2134	   2517.967	   2519.517	   2515.662	           	
 05/10-09:32	2514.400	2515.200	2512.800	2513.600	           2351	   2517.533	   2519.447	   2515.688	           	
 05/10-09:33	2513.600	2513.800	2511.000	2513.400	           1633	   2517.113	   2519.370	   2515.715	           	
 05/10-09:34	2513.400	2515.800	2513.400	2515.600	           2481	   2516.760	   2519.333	   2515.770	           	
 05/10-09:35	2515.400	2515.600	2514.200	2515.400	           1335	   2516.406	   2519.280	   2515.835	           	
 05/10-09:36	2515.400	2517.200	2514.400	2516.000	           2329	   2516.126	   2519.233	   2515.876	           	
 05/10-09:37	2516.000	2518.400	2515.600	2517.600	           2999	   2515.887	   2519.214	   2515.935	           	
 05/10-09:38	2517.200	2517.600	2516.200	2517.000	           1702	   2515.621	   2519.173	   2515.975	           	
 05/10-09:39	2517.000	2521.600	2516.800	2520.800	           4598	   2515.506	   2519.213	   2516.047	           	
 05/10-09:40	2520.800	2525.400	2519.600	2523.600	           4955	   2515.506	   2519.227	   2516.125	           	
 05/10-09:41	2523.800	2530.000	2523.800	2527.800	           8073	   2515.633	   2519.353	   2516.247	           	
 05/10-09:42	2528.200	2528.600	2525.200	2525.800	           4295	   2515.794	   2519.467	   2516.353	           	
 05/10-09:43	2525.800	2529.200	2525.800	2528.200	           3146	   2516.053	   2519.624	   2516.488	           	
 05/10-09:44	2528.400	2528.400	2524.200	2525.000	           3916	   2516.206	   2519.714	   2516.595	           	
