 06/20-09:16	2365.000	2365.000	2359.000	2361.000	           7189	      1.000	   2377.206	   2376.937	   2368.952	   2364.398	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	     10.000	      0.000	      1.000	      0.000	      0.000	
 06/20-09:17	2360.800	2361.800	2357.600	2358.600	           3027	      2.000	   2376.654	   2376.627	   2369.019	   2364.332	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 06/20-09:18	2358.600	2359.000	2356.200	2358.400	           2779	      3.000	   2376.073	   2376.320	   2369.085	   2364.261	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 06/20-09:19	2358.400	2358.600	2355.200	2357.800	           2776	      4.000	   2375.467	   2376.020	   2369.138	   2364.197	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 06/20-09:20	2357.800	2359.400	2357.800	2359.200	           1592	      5.000	   2374.900	   2375.750	   2369.185	   2364.134	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 06/20-09:21	2358.800	2359.400	2357.600	2357.600	           1604	      6.000	   2374.275	   2375.474	   2369.239	   2364.069	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 06/20-09:22	2357.600	2359.400	2356.200	2359.200	           1895	      7.000	   2373.660	   2375.203	   2369.298	   2364.002	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 06/20-09:23	2359.000	2363.200	2358.600	2361.000	           3140	      8.000	   2373.140	   2374.930	   2369.350	   2363.958	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 06/20-09:24	2360.800	2361.000	2358.600	2358.600	           1481	      9.000	   2372.567	   2374.636	   2369.376	   2363.909	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 06/20-09:25	2358.800	2360.400	2358.200	2359.400	           1135	     10.000	   2372.015	   2374.377	   2369.415	   2363.860	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
