 07/08-09:16	2145.000	2145.200	2135.800	2140.000	           9687	      1.000	   2172.620	   2175.110	   2181.515	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -33.800	    -32.400	     -5.200	      4.200	      0.000	
 07/08-09:17	2140.000	2140.000	2125.800	2127.200	           8334	      2.000	   2171.000	   2174.240	   2180.983	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	    -18.000	     -8.600	    -18.000	      1.400	      0.000	
 07/08-09:18	2126.600	2130.600	2121.400	2128.600	           6114	      3.000	   2169.433	   2173.350	   2180.480	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	    -11.400	      2.800	    -16.600	      7.200	      0.000	
 07/08-09:19	2129.000	2131.400	2125.800	2130.400	           4332	      4.000	   2167.940	   2172.460	   2179.998	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -0.200	      9.000	    -14.800	      9.000	      0.000	
 07/08-09:20	2130.800	2130.800	2127.200	2127.200	           2552	      5.000	   2166.374	   2171.537	   2179.482	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -4.200	      1.400	    -18.000	      5.800	      0.000	
 07/08-09:21	2126.800	2129.400	2125.200	2129.400	           2806	      6.000	   2164.921	   2170.657	   2178.970	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -1.400	      2.200	    -15.800	      8.000	      0.000	
 07/08-09:22	2129.200	2134.200	2129.200	2130.800	           3727	      7.000	   2163.559	   2169.793	   2178.470	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.400	      5.600	    -14.400	      9.400	      0.000	
 07/08-09:23	2130.600	2131.200	2129.200	2130.000	           1575	      8.000	   2162.153	   2168.983	   2177.948	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -4.200	      0.800	    -15.200	      8.600	      0.000	
 07/08-09:24	2130.000	2130.800	2129.000	2129.400	           1139	      9.000	   2160.706	   2168.173	   2177.422	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -1.800	      0.200	    -15.800	      8.000	      0.000	
 07/08-09:25	2129.400	2139.000	2129.200	2131.200	           4716	     10.000	   2159.279	   2167.380	   2176.898	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.400	      2.200	    -14.000	      9.800	      0.000	
