 10/11-09:48	2443.800	2447.800	2443.200	2447.000	           6240	     33.000	           	           	   2441.247	   2435.120	   2432.405	           	           	      0.080	      0.377	      0.310	      0.000	
 10/11-09:49	2447.000	2450.600	2446.800	2448.400	           6837	     34.000	           	           	   2441.433	   2435.507	   2432.580	           	           	      0.187	      0.387	      0.338	      0.000	
 10/11-09:50	2448.200	2452.200	2446.400	2452.200	           5604	     35.000	           	           	   2441.700	   2435.946	   2432.782	           	           	      0.267	      0.439	      0.377	      0.000	
 10/11-09:51	2452.000	2455.200	2450.000	2454.000	           9394	     36.000	           	           	   2442.133	   2436.410	   2432.987	           	           	      0.433	      0.464	      0.406	      0.000	
 10/11-09:52	2454.000	2454.200	2452.000	2452.600	           4011	     37.000	           	           	   2442.500	   2436.840	   2433.177	           	           	      0.367	      0.430	      0.395	      0.000	
 10/11-09:53	2452.600	2452.600	2450.400	2452.200	           4368	     38.000	           	           	   2442.833	   2437.250	   2433.375	           	           	      0.333	      0.410	      0.388	      0.000	
 10/11-09:54	2452.600	2458.000	2452.600	2457.400	           7520	     39.000	           	           	   2443.374	   2437.754	   2433.610	           	           	      0.541	      0.504	      0.434	      0.000	
 10/11-09:55	2457.800	2457.800	2453.800	2456.800	           5070	     40.000	           	           	   2443.867	   2438.240	   2433.853	           	           	      0.493	      0.486	      0.478	      0.000	
 10/11-09:56	2457.000	2457.200	2452.200	2453.000	           4115	     41.000	           	           	   2444.173	   2438.653	   2434.057	           	           	      0.306	      0.413	      0.447	      0.000	
 10/11-09:57	2452.800	2455.600	2452.400	2455.600	           2472	     42.000	           	           	   2444.606	   2439.126	   2434.280	           	           	      0.433	      0.473	      0.427	      0.000	
 10/11-09:58	2455.600	2456.400	2453.000	2456.000	           3201	     43.000	           	           	   2445.053	   2439.650	   2434.505	           	           	      0.447	      0.523	      0.448	      0.000	
 10/11-09:59	2455.800	2461.000	2454.400	2456.400	           9167	     44.000	           	           	   2445.459	   2440.143	   2434.713	           	           	      0.406	      0.493	      0.433	      0.000	
 10/11-10:00	2456.200	2459.200	2455.200	2458.400	           4856	     45.000	           	           	   2446.027	   2440.680	   2434.927	           	           	      0.568	      0.537	      0.422	      0.000	
 10/11-10:01	2458.200	2459.000	2455.400	2455.400	           3895	     46.000	           	           	   2446.467	   2441.137	   2435.120	           	           	      0.439	      0.457	      0.407	      0.000	
 10/11-10:02	2455.800	2456.400	2453.600	2454.200	           4144	     47.000	           	           	   2446.906	   2441.593	   2435.303	           	           	      0.440	      0.456	      0.376	      0.000	
 10/11-10:03	2454.200	2455.600	2453.000	2453.600	           2925	     48.000	           	           	   2447.333	   2442.043	   2435.468	           	           	      0.427	      0.450	      0.348	      0.000	
 10/11-10:04	2453.800	2455.600	2452.600	2452.800	           2542	     49.000	           	           	   2447.767	   2442.483	   2435.640	           	           	      0.433	      0.440	      0.337	      0.000	
 10/11-10:05	2452.600	2455.400	2452.600	2455.400	           2282	     50.000	           	           	   2448.341	   2442.947	   2435.853	           	           	      0.574	      0.463	      0.385	      0.000	
 10/11-10:06	2455.000	2458.400	2454.400	2457.400	           4791	     51.000	           	           	   2448.907	   2443.440	   2436.073	           	           	      0.567	      0.493	      0.434	      0.000	
 10/11-10:07	2457.400	2460.800	2455.800	2455.800	           5129	     52.000	           	           	   2449.426	   2443.907	   2436.258	           	           	      0.519	      0.467	      0.405	      0.000	
 10/11-10:08	2455.600	2459.600	2455.000	2459.400	           3273	     53.000	           	           	   2450.106	   2444.423	   2436.457	           	           	      0.680	      0.517	      0.383	      0.000	
 10/11-10:09	2459.600	2465.200	2459.200	2465.200	          10559	     54.000	           	           	   2450.953	   2445.040	   2436.703	           	           	      0.847	      0.616	      0.445	      0.000	
 10/11-10:10	2465.200	2467.600	2463.200	2464.800	           7711	     55.000	           	           	   2451.767	   2445.653	   2436.943	           	           	      0.813	      0.614	      0.487	      0.000	
 10/11-10:11	2464.600	2468.000	2464.000	2465.200	           5482	     56.000	           	           	   2452.673	   2446.270	   2437.190	           	           	      0.906	      0.617	      0.487	      0.000	
 10/11-10:12	2465.000	2468.600	2464.400	2466.200	           4737	     57.000	           	           	   2453.614	   2446.907	   2437.430	           	           	      0.941	      0.637	      0.487	      0.000	
 10/11-10:13	2465.800	2467.200	2464.200	2466.000	           2902	     58.000	           	           	   2454.586	   2447.550	   2437.677	           	           	      0.973	      0.643	      0.487	      0.000	
 10/11-10:14	2466.400	2467.400	2464.600	2464.600	           2753	     59.000	           	           	   2455.447	   2448.147	   2437.920	           	           	      0.860	      0.597	      0.490	      0.000	
 10/11-10:15	2464.800	2469.000	2464.600	2469.000	           5063	     60.000	           	           	   2456.373	   2448.813	   2438.193	           	           	      0.926	      0.667	      0.517	      0.000	
