 05/17-09:16	2525.000	2527.800	2523.400	2526.600	           4941	   2523.658	   2517.933	   2515.510	   2503.082	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   4941.000	   3525.600	   3046.700	
 05/17-09:17	2526.600	2526.600	2522.800	2525.600	           2513	   2523.950	   2518.204	   2515.573	   2503.359	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      1.000	   2513.000	   3356.600	   3006.400	
 05/17-09:18	2525.400	2525.400	2523.200	2524.800	           1606	   2524.217	   2518.438	   2515.652	   2503.628	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1606.000	   3109.800	   3011.900	
 05/17-09:19	2524.800	2526.800	2524.800	2526.000	           1311	   2524.483	   2518.708	   2515.760	   2503.901	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1311.000	   2967.600	   2942.900	
 05/17-09:20	2526.000	2528.200	2525.800	2525.800	           2121	   2524.700	   2519.017	   2515.871	   2504.171	      0.000	      1.000	      1.000	      0.000	      1.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2121.000	   2498.400	   2825.800	
 05/17-09:21	2525.600	2526.000	2523.600	2525.000	           1991	   2524.875	   2519.288	   2515.988	   2504.428	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1991.000	   1908.400	   2717.000	
 05/17-09:22	2525.000	2525.200	2523.200	2523.800	           1485	   2524.992	   2519.521	   2516.100	   2504.680	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1485.000	   1702.800	   2529.700	
 05/17-09:23	2524.200	2525.000	2523.000	2523.400	           1158	   2525.133	   2519.725	   2516.212	   2504.935	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1158.000	   1613.200	   2361.500	
 05/17-09:24	2523.600	2524.200	2522.600	2522.800	           1401	   2525.192	   2519.921	   2516.296	   2505.197	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1401.000	   1631.200	   2299.400	
 05/17-09:25	2523.000	2526.600	2522.800	2524.600	           2181	   2525.300	   2520.154	   2516.410	   2505.461	      1.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2181.000	   1643.200	   2070.800	
 05/17-09:26	2524.800	2526.200	2523.200	2523.200	           1112	   2525.267	   2520.358	   2516.517	   2505.713	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1112.000	   1467.400	   1687.900	
 05/17-09:27	2523.200	2524.800	2523.000	2524.000	           1167	   2525.242	   2520.571	   2516.646	   2505.967	      1.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1167.000	   1403.800	   1553.300	
 05/17-09:28	2523.800	2524.000	2523.000	2523.000	           1092	   2525.242	   2520.742	   2516.769	   2506.213	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1092.000	   1390.600	   1501.900	
 05/17-09:29	2523.000	2525.200	2522.800	2524.600	           1068	   2525.308	   2520.925	   2516.915	   2506.379	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   1068.000	   1324.000	   1477.600	
