 09/06-09:26	2331.800	2333.200	2331.600	2332.600	            979	     11.000	   2338.217	   2339.258	   2338.615	   2338.676	           	     -0.142	     -0.158	     -0.056	      0.000	     11.000	   2332.750	   2338.217	   2339.258	   2338.615	   2338.676	      1.042	      1.042	      1.000	      0.644	     -0.149	     -0.095	     -0.062	     -1.042	     -6.076	     -5.616	      0.000	      0.000	      0.000	      1.000	     -0.083	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/06-09:27	2332.600	2333.400	2332.000	2333.400	            741	     12.000	   2338.092	   2339.121	   2338.592	   2338.641	           	     -0.125	     -0.137	     -0.050	      0.000	     12.000	   2332.583	   2338.092	   2339.121	   2338.592	   2338.641	      1.029	      1.029	      1.000	      0.529	     -0.150	     -0.096	     -0.050	     -1.029	     -5.241	     -4.692	      0.000	      0.000	      0.000	      0.000	     -0.167	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/06-09:28	2333.400	2334.400	2332.000	2333.200	           1671	     13.000	   2337.925	   2338.979	   2338.573	   2338.608	           	     -0.167	     -0.142	     -0.042	      0.000	     13.000	   2333.083	   2337.925	   2338.979	   2338.573	   2338.608	      1.054	      1.054	      1.000	      0.406	     -0.150	     -0.098	     -0.035	     -1.054	     -5.408	     -4.725	      0.000	      0.000	      0.000	      0.000	      0.500	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/06-09:29	2333.200	2334.000	2332.400	2332.800	            765	     14.000	   2337.725	   2338.850	   2338.554	   2338.572	           	     -0.200	     -0.129	     -0.037	      0.000	     14.000	   2333.167	   2337.725	   2338.850	   2338.554	   2338.572	      1.125	      1.125	      1.000	      0.296	     -0.144	     -0.087	     -0.017	     -1.125	     -5.771	     -4.925	      0.000	      0.000	      0.000	      0.000	      0.083	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/06-09:30	2332.800	2334.800	2332.800	2334.800	           1329	     15.000	   2337.592	   2338.758	   2338.552	   2338.539	           	     -0.134	     -0.092	     -0.021	      0.000	     15.000	   2333.583	   2337.592	   2338.758	   2338.552	   2338.539	      1.167	      1.167	      1.000	      0.220	     -0.137	     -0.063	      0.013	     -1.167	     -3.739	     -2.792	      0.000	      0.000	      0.000	      0.000	      0.417	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/06-09:31	2334.800	2336.000	2334.200	2334.200	           2105	     16.000	   2337.475	   2338.654	   2338.533	   2338.500	           	     -0.116	     -0.104	     -0.021	      0.000	     16.000	   2333.917	   2337.475	   2338.654	   2338.533	   2338.500	      1.179	      1.179	      1.000	      0.155	     -0.142	     -0.058	      0.034	     -1.179	     -4.300	     -3.275	      0.000	      0.000	      0.000	      0.000	      0.333	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/06-09:32	2334.400	2336.800	2334.200	2336.200	           2114	     17.000	   2337.408	   2338.596	   2338.527	   2338.465	           	     -0.067	     -0.058	     -0.025	      0.000	     17.000	   2335.083	   2337.408	   2338.596	   2338.527	   2338.465	      1.188	      1.188	      1.000	      0.131	     -0.143	     -0.046	      0.062	     -1.188	     -2.265	     -1.208	      0.000	      0.000	      0.000	      0.000	      1.167	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/06-09:33	2336.400	2337.200	2336.400	2337.000	           2413	     18.000	   2337.358	   2338.533	   2338.529	   2338.431	           	     -0.050	     -0.063	     -0.004	      0.000	     18.000	   2335.833	   2337.358	   2338.533	   2338.529	   2338.431	      1.175	      1.175	      1.000	      0.102	     -0.140	     -0.025	      0.098	     -1.175	     -1.431	     -0.358	      0.000	      0.000	      0.000	      0.000	      0.750	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/06-09:34	2336.800	2338.000	2336.000	2337.800	           2127	     19.000	   2337.350	   2338.475	   2338.563	   2338.406	           	     -0.008	     -0.058	      0.035	      0.000	     19.000	   2337.000	   2337.350	   2338.475	   2338.563	   2338.406	      1.125	      1.212	      1.000	      0.156	     -0.132	      0.010	      0.156	     -1.125	     -0.606	      0.450	      0.000	      0.000	      0.000	      0.000	      1.167	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/06-09:35	2337.600	2340.200	2336.800	2340.200	           3485	     20.000	   2337.408	   2338.433	   2338.615	   2338.392	           	      0.058	     -0.042	      0.085	      0.000	     20.000	   2338.333	   2337.408	   2338.433	   2338.615	   2338.392	      1.025	      1.206	      1.000	      0.223	     -0.108	      0.081	      0.223	     -1.025	      1.808	      2.792	      0.000	      0.000	      1.000	      0.000	      1.333	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
