 08/28-09:50	2329.800	2331.800	2328.600	2329.400	           5218	     35.000	   2325.180	   2330.960	   2331.519	           	      0.140	     -0.123	      0.015	      0.000	
 08/28-09:51	2329.400	2330.000	2328.600	2329.800	           1838	     36.000	   2325.326	   2330.827	   2331.530	           	      0.146	     -0.134	      0.022	      0.000	
 08/28-09:52	2330.000	2330.000	2327.600	2327.800	           2617	     37.000	   2325.420	   2330.650	   2331.532	           	      0.094	     -0.177	      0.013	      0.000	
 08/28-09:53	2327.800	2329.600	2327.200	2329.200	           1798	     38.000	   2325.567	   2330.483	   2331.542	           	      0.147	     -0.167	      0.012	      0.000	
 08/28-09:54	2329.600	2329.600	2327.800	2328.400	           1906	     39.000	   2325.680	   2330.293	   2331.540	           	      0.114	     -0.190	      0.008	      0.000	
 08/28-09:55	2328.200	2328.200	2326.600	2327.200	           2064	     40.000	   2325.786	   2330.086	   2331.518	           	      0.106	     -0.207	     -0.023	      0.000	
 08/28-09:56	2327.200	2328.200	2327.000	2327.000	           1400	     41.000	   2325.940	   2329.893	   2331.487	           	      0.153	     -0.193	     -0.053	      0.000	
 08/28-09:57	2327.200	2327.600	2325.000	2325.800	           3995	     42.000	   2325.994	   2329.664	   2331.452	           	      0.054	     -0.230	     -0.067	      0.000	
 08/28-09:58	2325.600	2326.000	2321.800	2322.000	           4582	     43.000	   2325.947	   2329.383	   2331.387	           	     -0.047	     -0.280	     -0.100	      0.000	
 08/28-09:59	2322.000	2322.600	2318.200	2319.600	           8608	     44.000	   2325.840	   2329.063	   2331.302	           	     -0.107	     -0.320	     -0.150	      0.000	
 08/28-10:00	2319.800	2320.000	2302.600	2305.800	          15814	     45.000	   2325.267	   2328.520	   2331.093	           	     -0.573	     -0.543	     -0.293	      0.000	
 08/28-10:01	2305.800	2305.800	2293.200	2303.800	          13638	     46.000	   2324.626	   2327.933	   2330.873	           	     -0.641	     -0.587	     -0.428	      0.000	
 08/28-10:02	2304.200	2308.000	2303.000	2306.800	           7668	     47.000	   2324.040	   2327.386	   2330.673	           	     -0.586	     -0.547	     -0.420	      0.000	
 08/28-10:03	2306.600	2309.000	2305.800	2307.600	           4785	     48.000	   2323.467	   2326.874	   2330.493	           	     -0.573	     -0.513	     -0.380	      0.000	
 08/28-10:04	2307.000	2308.000	2305.400	2307.000	           4081	     49.000	   2322.833	   2326.343	   2330.310	           	     -0.633	     -0.530	     -0.364	      0.000	
 08/28-10:05	2307.000	2310.800	2307.000	2310.600	           5270	     50.000	   2322.379	   2325.860	   2330.160	           	     -0.454	     -0.483	     -0.333	      0.000	
 08/28-10:06	2310.600	2316.000	2308.600	2316.000	           6055	     51.000	   2322.086	   2325.467	   2330.075	           	     -0.293	     -0.393	     -0.235	      0.000	
 08/28-10:07	2315.000	2321.800	2314.600	2319.200	          13061	     52.000	   2321.914	   2325.140	   2330.018	           	     -0.173	     -0.326	     -0.142	      0.000	
 08/28-10:08	2319.200	2319.200	2315.600	2317.800	           5191	     53.000	   2321.712	   2324.780	   2329.950	           	     -0.201	     -0.360	     -0.125	      0.000	
 08/28-10:09	2317.600	2318.000	2315.400	2316.600	           3231	     54.000	   2321.513	   2324.400	   2329.867	           	     -0.199	     -0.380	     -0.152	      0.000	
