 06/05-09:16	2564.600	2565.600	2560.400	2562.400	           4470	      1.000	      0.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.742	   2560.804	   2560.025	   2566.629	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/05-09:17	2562.600	2563.800	2562.200	2562.800	           1684	      2.000	      0.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.758	   2560.858	   2560.025	   2566.542	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/05-09:18	2562.600	2562.800	2561.400	2561.800	           1194	      3.000	      0.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.742	   2560.900	   2560.015	   2566.447	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/05-09:19	2561.800	2562.400	2561.000	2561.000	           1101	      4.000	      0.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.692	   2560.925	   2560.004	   2566.358	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/05-09:20	2561.000	2563.400	2559.400	2562.000	           2960	      5.000	      0.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.675	   2560.967	   2560.006	   2566.277	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/05-09:21	2562.000	2563.200	2562.000	2562.400	            889	      6.000	      1.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.667	   2560.979	   2560.017	   2566.197	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/05-09:22	2562.000	2562.800	2561.000	2562.600	            806	      7.000	      1.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.717	   2561.000	   2560.002	   2566.136	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/05-09:23	2562.400	2562.600	2561.200	2561.600	            530	      8.000	      1.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.717	   2561.038	   2559.983	   2566.059	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/05-09:24	2561.000	2563.000	2561.000	2561.800	            924	      9.000	      1.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.717	   2561.075	   2559.977	   2565.982	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/05-09:25	2562.000	2563.200	2561.800	2563.000	           1195	     10.000	      0.000	   2584.400	   2568.200	           	           	           	           	           	           	   2562.750	   2561.150	   2559.983	   2565.913	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
