 09/11-09:26	2486.800	2491.000	2486.200	2488.000	           2753	     11.000	   2476.387	   2465.070	   2455.033	           	           	      0.594	      0.703	      0.740	      0.000	     11.000	   2487.604	   2476.387	   2465.070	   2455.033	           	           	     21.354	      0.000	           	           	      1.477	           	     11.317	           	     11.613	      0.000	      0.000	      0.000	      0.000	     -0.135	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/11-09:27	2488.000	2489.600	2486.400	2488.200	           2162	     12.000	   2477.013	   2465.767	   2455.410	           	           	      0.626	      0.696	      0.756	      0.000	     12.000	   2487.667	   2477.013	   2465.767	   2455.410	           	           	     21.604	      0.000	           	           	      1.483	           	     11.247	           	     11.187	      0.000	      0.000	      0.000	      0.000	      0.063	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/11-09:28	2488.000	2490.800	2487.800	2488.400	           2084	     13.000	   2477.633	   2466.473	   2455.803	           	           	      0.620	      0.707	      0.770	      0.000	     13.000	   2488.198	   2477.633	   2466.473	   2455.803	           	           	     21.830	      0.000	           	           	      1.510	           	     11.160	           	     10.767	      0.000	      0.000	      0.000	      0.000	      0.531	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/11-09:29	2488.200	2488.800	2486.800	2488.800	           1420	     14.000	   2478.279	   2467.167	   2456.197	           	           	      0.646	      0.693	      0.787	      0.000	     14.000	   2488.458	   2478.279	   2467.167	   2456.197	           	           	     22.083	      0.000	           	           	      1.543	           	     11.113	           	     10.521	      0.000	      0.000	      0.000	      0.000	      0.260	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/11-09:30	2488.800	2490.000	2488.000	2488.000	           1716	     15.000	   2478.900	   2467.830	   2456.570	           	           	      0.621	      0.663	      0.766	      0.000	     15.000	   2488.396	   2478.900	   2467.830	   2456.570	           	           	     22.330	      0.000	           	           	      1.536	           	     11.070	           	      9.100	      0.000	      0.000	      0.000	      0.000	     -0.063	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/11-09:31	2487.800	2488.200	2485.400	2485.400	           2592	     16.000	   2479.500	   2468.477	   2456.902	           	           	      0.600	      0.647	      0.705	      0.000	     16.000	   2487.396	   2479.500	   2468.477	   2456.902	           	           	     22.598	      0.000	           	           	      1.492	           	     11.023	           	      5.900	      0.000	      0.000	      0.000	      0.000	     -1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/11-09:32	2485.600	2486.000	2482.200	2483.600	           5647	     17.000	   2480.020	   2469.090	   2457.223	           	           	      0.520	      0.613	      0.653	      0.000	     17.000	   2485.667	   2480.020	   2469.090	   2457.223	           	           	     22.797	      0.000	           	           	      1.420	           	     10.930	           	      3.580	      0.000	      0.000	      0.000	      0.000	     -1.729	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/11-09:33	2483.200	2483.600	2480.200	2480.800	           4196	     18.000	   2480.386	   2469.640	   2457.515	           	           	      0.367	      0.550	      0.613	      0.000	     18.000	   2483.271	   2480.386	   2469.640	   2457.515	           	           	     22.872	      0.000	           	           	      1.318	           	     10.746	           	      0.414	      0.000	      0.000	      0.000	      0.000	     -2.396	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/11-09:34	2480.200	2482.200	2480.000	2482.000	           2929	     19.000	   2480.700	   2470.214	   2457.817	           	           	      0.313	      0.573	      0.594	      0.000	     19.000	   2482.135	   2480.700	   2470.214	   2457.817	           	           	     22.883	      0.000	           	           	      1.247	           	     10.486	           	      1.300	      0.000	      0.000	      0.000	      0.000	     -1.135	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/11-09:35	2482.200	2483.800	2481.600	2483.200	           2864	     20.000	   2481.146	   2470.803	   2458.135	           	           	      0.446	      0.590	      0.620	      0.000	     20.000	   2482.000	   2481.146	   2470.803	   2458.135	           	           	     23.011	      0.000	           	           	      1.233	           	     10.343	           	      2.054	      0.000	      0.000	      0.000	      0.000	     -0.135	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
