 09/05-09:48	2342.200	2342.400	2341.000	2341.400	           2092	     33.000	   2344.592	   2345.688	   2344.944	   2345.280	           	     -0.233	     -0.087	     -0.108	      0.000	
 09/05-09:49	2341.600	2342.400	2341.200	2342.000	           1416	     34.000	   2344.375	   2345.613	   2344.892	   2345.260	           	     -0.217	     -0.075	     -0.108	      0.000	
 09/05-09:50	2342.000	2343.800	2341.800	2343.000	           2402	     35.000	   2344.192	   2345.550	   2344.865	   2345.241	           	     -0.183	     -0.063	     -0.079	      0.000	
 09/05-09:51	2343.000	2344.600	2342.800	2344.000	           2312	     36.000	   2344.067	   2345.500	   2344.842	   2345.224	           	     -0.125	     -0.050	     -0.050	      0.000	
 09/05-09:52	2344.000	2345.000	2343.600	2344.800	           2968	     37.000	   2343.975	   2345.475	   2344.835	   2345.210	           	     -0.092	     -0.025	     -0.029	      0.000	
 09/05-09:53	2344.600	2345.600	2344.000	2345.400	           2488	     38.000	   2343.983	   2345.462	   2344.831	   2345.199	           	      0.008	     -0.013	     -0.010	      0.000	
 09/05-09:54	2345.200	2345.400	2344.000	2344.000	           1705	     39.000	   2343.925	   2345.413	   2344.819	   2345.184	           	     -0.058	     -0.050	     -0.017	      0.000	
 09/05-09:55	2344.200	2344.400	2343.800	2344.000	           1404	     40.000	   2343.883	   2345.367	   2344.808	   2345.176	           	     -0.042	     -0.046	     -0.023	      0.000	
 09/05-09:56	2344.000	2344.200	2341.400	2341.600	           3981	     41.000	   2343.758	   2345.279	   2344.779	   2345.163	           	     -0.125	     -0.088	     -0.040	      0.000	
 09/05-09:57	2341.400	2342.000	2341.400	2341.600	           2505	     42.000	   2343.617	   2345.200	   2344.754	   2345.145	           	     -0.142	     -0.079	     -0.054	      0.000	
 09/05-09:58	2341.800	2342.400	2339.200	2339.200	           5082	     43.000	   2343.383	   2345.075	   2344.712	   2345.115	           	     -0.233	     -0.125	     -0.067	      0.000	
 09/05-09:59	2339.400	2339.800	2336.600	2338.200	           7370	     44.000	   2343.142	   2344.933	   2344.658	   2345.087	           	     -0.242	     -0.142	     -0.096	      0.000	
 09/05-10:00	2338.400	2339.200	2334.400	2335.200	           7754	     45.000	   2342.800	   2344.742	   2344.587	   2345.053	           	     -0.342	     -0.192	     -0.125	      0.000	
 09/05-10:01	2335.200	2338.200	2335.200	2337.800	           3407	     46.000	   2342.542	   2344.575	   2344.540	   2345.028	           	     -0.258	     -0.167	     -0.119	      0.000	
 09/05-10:02	2337.600	2338.000	2337.000	2337.200	           1627	     47.000	   2342.300	   2344.400	   2344.492	   2345.001	           	     -0.242	     -0.175	     -0.096	      0.000	
 09/05-10:03	2337.200	2337.800	2336.400	2336.400	           1988	     48.000	   2342.017	   2344.208	   2344.435	   2344.966	           	     -0.283	     -0.192	     -0.104	      0.000	
 09/05-10:04	2336.600	2337.400	2336.000	2336.400	           1637	     49.000	   2341.717	   2344.033	   2344.377	   2344.931	           	     -0.300	     -0.175	     -0.115	      0.000	
 09/05-10:05	2336.600	2337.600	2336.400	2336.800	           1582	     50.000	   2341.408	   2343.854	   2344.317	   2344.900	           	     -0.308	     -0.179	     -0.119	      0.000	
