 08/19-09:26	2299.200	2301.400	2297.600	2301.400	           2366	     11.000	   2318.873	   2324.933	   2330.082	           	     -0.967	     -0.486	     -0.733	      0.000	     11.000	   2300.319	   2318.873	   2324.933	   2330.082	           	           	      0.000	     11.209	      0.000	           	      0.000	           	     -1.457	           	     -6.061	           	    -17.473	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:27	2301.600	2301.600	2296.400	2297.400	           2588	     12.000	   2317.774	   2324.380	   2329.680	           	     -1.099	     -0.553	     -0.755	      0.000	     12.000	   2299.962	   2317.774	   2324.380	   2329.680	           	           	      0.000	     11.906	      0.000	           	      0.000	           	     -1.502	           	     -6.606	           	    -20.374	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:28	2297.600	2299.400	2297.400	2298.800	           1896	     13.000	   2316.726	   2323.846	   2329.300	           	     -1.048	     -0.534	     -0.782	      0.000	     13.000	   2299.519	   2316.726	   2323.846	   2329.300	           	           	      0.000	     12.574	      0.000	           	      0.000	           	     -1.515	           	     -7.120	           	    -17.926	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:29	2298.800	2298.800	2293.200	2296.600	           3985	     14.000	   2315.600	   2323.263	   2328.905	           	     -1.126	     -0.583	     -0.775	      0.000	     14.000	   2298.681	   2315.600	   2323.263	   2328.905	           	           	      0.000	     13.305	      0.000	           	      0.000	           	     -1.530	           	     -7.663	           	    -19.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:30	2296.200	2296.400	2291.600	2294.200	           3977	     15.000	   2314.406	   2322.630	   2328.487	           	     -1.194	     -0.634	     -0.813	      0.000	     15.000	   2297.681	   2314.406	   2322.630	   2328.487	           	           	      0.000	     14.080	      0.000	           	      0.000	           	     -1.595	           	     -8.224	           	    -20.206	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:31	2294.400	2300.400	2291.800	2298.800	           5192	     16.000	   2313.367	   2322.080	   2328.108	           	     -1.040	     -0.550	     -0.797	      0.000	     16.000	   2297.163	   2313.367	   2322.080	   2328.108	           	           	      0.000	     14.742	      0.000	           	      0.000	           	     -1.572	           	     -8.714	           	    -14.567	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:32	2298.200	2298.400	2295.000	2296.400	           2885	     17.000	   2312.246	   2321.487	   2327.712	           	     -1.121	     -0.594	     -0.775	      0.000	     17.000	   2296.956	   2312.246	   2321.487	   2327.712	           	           	      0.000	     15.466	      0.000	           	      0.000	           	     -1.588	           	     -9.241	           	    -15.846	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:33	2296.400	2297.400	2291.200	2291.200	           4587	     18.000	   2310.953	   2320.803	   2327.273	           	     -1.293	     -0.683	     -0.835	      0.000	     18.000	   2295.444	   2310.953	   2320.803	   2327.273	           	           	      0.000	     16.320	      0.000	           	      0.000	           	     -1.632	           	     -9.850	           	    -19.753	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:34	2291.400	2294.000	2285.800	2293.800	           6622	     19.000	   2309.746	   2320.183	   2326.837	           	     -1.207	     -0.620	     -0.875	      0.000	     19.000	   2294.875	   2309.746	   2320.183	   2326.837	           	           	      0.000	     17.091	      0.000	           	      0.000	           	     -1.650	           	    -10.437	           	    -15.946	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:35	2293.200	2296.800	2292.600	2296.400	           4065	     20.000	   2308.626	   2319.606	   2326.458	           	     -1.120	     -0.577	     -0.815	      0.000	     20.000	   2295.319	   2308.626	   2319.606	   2326.458	           	           	      0.000	     17.832	      0.000	           	      0.000	           	     -1.650	           	    -10.980	           	    -12.226	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
