 05/24-09:16	2583.800	2585.600	2581.600	2585.000	           8983	   2571.354	   2573.910	   2586.273	   2589.527	   2613.000	   2598.000	   2569.000	   2554.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      1.000	      0.000	   8983.000	      0.000	   4071.000	   4071.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2573.400	   2571.354	   2573.910	   2586.273	   2589.527	     -3.000	     -2.000	     -1.000	     -4.527	      0.000	      0.000	      0.000	   8983.000	   3873.400	   2583.300	
 05/24-09:17	2585.200	2585.200	2583.200	2583.800	           2610	   2571.717	   2573.967	   2586.096	   2589.486	   2613.000	   2598.000	   2569.000	   2554.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	  13054.000	  13054.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2575.900	   2571.717	   2573.967	   2586.096	   2589.486	     -3.000	     -2.000	     -1.000	     -5.686	      0.000	      0.000	      0.000	   2610.000	   4131.200	   2713.300	
 05/24-09:18	2584.000	2584.000	2582.400	2582.600	           2525	   2572.067	   2573.967	   2585.934	   2589.450	   2613.000	   2598.000	   2569.000	   2554.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   8983.000	  13054.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2578.425	   2572.067	   2573.967	   2585.934	   2589.450	     -3.000	     -2.000	     -1.000	     -6.850	      0.000	      0.000	      0.000	   2525.000	   4198.000	   2848.800	
 05/24-09:19	2582.400	2587.000	2582.400	2586.000	           4387	   2572.533	   2574.027	   2585.784	   2589.406	   2613.000	   2598.000	   2569.000	   2554.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      1.000	      0.000	   4387.000	      0.000	      0.000	   8983.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2581.625	   2572.533	   2574.027	   2585.784	   2589.406	     -3.000	     -2.000	     -1.000	     -3.406	      0.000	      0.000	      0.000	   4387.000	   4515.200	   3168.700	
 05/24-09:20	2585.800	2585.800	2584.200	2584.600	           1923	   2572.946	   2574.033	   2585.614	   2589.353	   2613.000	   2598.000	   2569.000	   2554.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   4387.000	   4387.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2584.400	   2572.946	   2574.033	   2585.614	   2589.353	     -3.000	     -2.000	     -1.000	     -4.753	      0.000	      0.000	      0.000	   1923.000	   4085.600	   3203.900	
 05/24-09:21	2584.600	2588.000	2584.000	2586.600	           3307	   2573.442	   2574.083	   2585.461	   2589.314	   2613.000	   2598.000	   2569.000	   2554.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   4387.000	   4387.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2584.725	   2573.442	   2574.083	   2585.461	   2589.314	     -3.000	     -2.000	     -1.000	     -2.714	      0.000	      0.000	      0.000	   3307.000	   2950.400	   3411.900	
 05/24-09:22	2587.000	2588.800	2586.200	2588.000	           2968	   2573.967	   2574.148	   2585.325	   2589.281	   2613.000	   2598.000	   2569.000	   2554.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   4387.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2585.575	   2573.967	   2574.148	   2585.325	   2589.281	     -3.000	     -2.000	     -1.000	     -1.281	      0.000	      0.000	      0.000	   2968.000	   3022.000	   3576.600	
 05/24-09:23	2588.000	2588.800	2586.600	2586.800	           2115	   2574.433	   2574.200	   2585.158	   2589.253	   2613.000	   2598.000	   2569.000	   2554.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2586.400	   2574.433	   2574.200	   2585.158	   2589.253	     -2.000	     -2.000	     -1.000	     -2.453	      0.000	      0.000	      0.000	   2115.000	   2940.000	   3569.000	
 05/24-09:24	2586.800	2588.600	2586.800	2588.400	           1618	   2574.979	   2574.275	   2584.981	   2589.224	   2613.000	   2598.000	   2569.000	   2554.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2586.875	   2574.979	   2574.275	   2584.981	   2589.224	     -2.000	     -2.000	     -1.000	     -0.824	      0.000	      0.000	      0.000	   1618.000	   2386.200	   3450.700	
 05/24-09:25	2588.200	2588.200	2586.200	2587.000	           1930	   2575.567	   2574.329	   2584.800	   2589.186	   2613.000	   2598.000	   2569.000	   2554.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2587.350	   2575.567	   2574.329	   2584.800	   2589.186	     -2.000	     -2.000	     -1.000	     -2.186	      0.000	      0.000	      0.000	   1930.000	   2387.600	   3236.600	
