 04/01-10:01	2147.000	2147.800	2146.000	2147.800	           1651	   2143.860	   2143.707	      0.000	      0.000	      0.000	
 04/01-10:02	2148.000	2154.200	2147.800	2153.000	          11489	   2144.274	   2143.883	      0.000	      0.000	      0.000	
 04/01-10:03	2152.800	2153.000	2150.800	2152.000	           4770	   2144.647	   2144.037	      0.000	      0.000	      0.000	
 04/01-10:04	2152.000	2152.800	2150.800	2152.600	           2945	   2145.047	   2144.200	      0.000	      0.000	      0.000	
 04/01-10:05	2152.800	2154.800	2152.600	2153.600	           4950	   2145.380	   2144.376	      0.000	      0.000	      0.000	
 04/01-10:06	2154.000	2154.600	2151.000	2151.200	           3780	   2145.520	   2144.510	      0.000	      0.000	      0.000	
 04/01-10:07	2151.000	2151.600	2149.600	2150.000	           3324	   2145.606	   2144.626	      0.000	      0.000	      0.000	
 04/01-10:08	2149.800	2150.600	2149.200	2150.000	           2272	   2145.700	   2144.743	      0.000	      0.000	      0.000	
 04/01-10:09	2150.000	2150.800	2149.800	2150.600	           1516	   2145.874	   2144.860	      0.000	      0.000	      0.000	
 04/01-10:10	2150.600	2150.800	2148.000	2148.600	           3511	   2145.987	   2144.960	      0.000	      0.000	      0.000	
 04/01-10:11	2148.800	2148.800	2146.400	2147.400	           3665	   2146.080	   2145.050	      0.000	      0.000	      0.000	
 04/01-10:12	2147.600	2148.200	2145.600	2146.000	           3069	   2146.160	   2145.100	      0.000	      0.000	      0.000	
 04/01-10:13	2146.000	2146.400	2145.000	2145.800	           3092	   2146.247	   2145.157	      0.000	      0.000	      0.000	
 04/01-10:14	2145.400	2146.800	2145.400	2146.600	           1645	   2146.386	   2145.243	      0.000	      0.000	      0.000	
 04/01-10:15	2146.400	2146.800	2145.600	2145.800	           1942	   2146.520	   2145.283	      0.000	      0.000	      0.000	
 04/01-10:16	2145.800	2148.800	2145.800	2147.000	           3403	   2146.694	   2145.293	      0.000	      0.000	      0.000	
 04/01-10:17	2147.000	2147.400	2146.400	2147.200	           1483	   2146.920	   2145.306	      0.000	      0.000	      0.000	
 04/01-10:18	2147.200	2147.600	2146.600	2147.400	           1193	   2147.140	   2145.343	      0.000	      0.000	      0.000	
 04/01-10:19	2147.400	2147.400	2146.600	2147.000	           1130	   2147.333	   2145.376	      0.000	      0.000	      0.000	
 04/01-10:20	2147.000	2147.200	2145.200	2146.000	           2970	   2147.353	   2145.393	      0.000	      0.000	      0.000	
 04/01-10:21	2146.000	2147.200	2144.600	2145.400	           2729	   2147.433	   2145.407	      0.000	      0.000	      0.000	
 04/01-10:22	2145.400	2146.200	2143.400	2144.000	           3294	   2147.480	   2145.374	      0.000	      0.000	      0.000	
 04/01-10:23	2144.200	2145.000	2142.800	2144.000	           3124	   2147.506	   2145.367	     -1.000	      0.000	      1.000	
 04/01-10:24	2144.000	2144.600	2143.200	2143.800	           1731	   2147.500	   2145.370	      0.000	      0.000	      0.000	
 04/01-10:25	2144.000	2144.600	2143.200	2143.600	           1535	   2147.460	   2145.364	      0.000	      0.000	      0.000	
 04/01-10:26	2143.600	2144.000	2143.400	2143.400	           1158	   2147.414	   2145.390	      0.000	      0.000	      0.000	
 04/01-10:27	2143.400	2145.000	2143.400	2143.400	           1676	   2147.346	   2145.406	      0.000	      0.000	      0.000	
 04/01-10:28	2143.800	2145.400	2143.400	2144.400	           1557	   2147.333	   2145.413	      0.000	      0.000	      0.000	
 04/01-10:29	2144.400	2145.400	2144.000	2145.200	           1574	   2147.313	   2145.450	      0.000	      0.000	      0.000	
 04/01-10:30	2145.600	2145.600	2144.400	2144.800	           1187	   2147.253	   2145.480	      0.000	      0.000	      0.000	
 04/01-10:31	2145.000	2145.000	2143.600	2143.600	           1941	   2147.113	   2145.487	     -1.000	      0.000	      1.000	
 04/01-10:32	2144.000	2145.200	2143.600	2145.200	           1372	   2146.853	   2145.563	      0.000	      0.000	      0.000	
 04/01-10:33	2145.200	2147.000	2145.200	2146.200	           3561	   2146.659	   2145.653	      0.000	      0.000	      0.000	
 04/01-10:34	2146.400	2146.400	2145.000	2145.400	           2092	   2146.420	   2145.733	      0.000	      0.000	      0.000	
 04/01-10:35	2145.400	2146.200	2145.200	2145.800	           1327	   2146.160	   2145.770	      0.000	      0.000	      0.000	
 04/01-10:36	2146.000	2146.800	2144.000	2144.400	           1995	   2145.933	   2145.727	      0.000	      0.000	      0.000	
 04/01-10:37	2144.400	2147.600	2144.400	2147.000	           2967	   2145.833	   2145.720	      0.000	      0.000	      0.000	
 04/01-10:38	2147.000	2147.200	2145.600	2145.800	           1271	   2145.694	   2145.697	      0.000	      0.000	      0.000	
 04/01-10:39	2146.000	2148.800	2145.200	2148.800	           2753	   2145.633	   2145.754	      0.000	      0.000	      0.000	
 04/01-10:40	2148.800	2149.200	2147.800	2149.000	           2958	   2145.647	   2145.817	      1.000	      1.000	      0.000	
 04/01-10:41	2148.400	2149.800	2148.400	2149.600	           3807	   2145.720	   2145.900	      0.000	      0.000	      0.000	
 04/01-10:42	2149.400	2149.400	2148.400	2148.800	           1810	   2145.813	   2145.987	      0.000	      0.000	      0.000	
 04/01-10:43	2148.800	2149.400	2147.800	2149.400	           2016	   2145.933	   2146.090	      0.000	      0.000	      0.000	
