 05/13-09:16	2541.000	2541.000	2534.200	2535.000	           6103	   2535.817	   2532.358	   2526.783	   2526.514	
 05/13-09:17	2534.600	2536.600	2533.600	2536.200	           2404	   2535.950	   2532.492	   2526.925	   2526.588	
 05/13-09:18	2536.000	2536.000	2534.200	2534.800	           1807	   2536.050	   2532.567	   2527.054	   2526.660	
 05/13-09:19	2534.800	2537.400	2534.200	2536.000	           1865	   2536.167	   2532.658	   2527.188	   2526.720	
 05/13-09:20	2536.200	2536.400	2534.600	2535.200	           1304	   2536.200	   2532.725	   2527.300	   2526.766	
 05/13-09:21	2535.600	2535.600	2533.000	2534.800	           1968	   2536.300	   2532.842	   2527.425	   2526.794	
 05/13-09:22	2534.800	2536.200	2534.200	2536.200	            823	   2536.433	   2532.958	   2527.554	   2526.836	
 05/13-09:23	2536.200	2540.600	2536.000	2540.600	           2429	   2536.717	   2533.142	   2527.712	   2526.884	
 05/13-09:24	2540.800	2543.200	2538.400	2538.600	           3314	   2536.933	   2533.292	   2527.850	   2526.938	
 05/13-09:25	2539.000	2542.000	2538.800	2540.600	           2176	   2537.200	   2533.500	   2528.012	   2526.938	
 05/13-09:26	2541.000	2542.400	2540.000	2541.200	           2086	   2537.467	   2533.725	   2528.188	   2526.956	
 05/13-09:27	2541.200	2542.600	2540.200	2541.200	           1726	   2537.767	   2533.933	   2528.363	   2526.960	
 05/13-09:28	2541.400	2541.800	2540.400	2541.000	            947	   2538.050	   2534.142	   2528.538	   2526.964	
 05/13-09:29	2540.400	2541.000	2539.200	2541.000	           1581	   2538.333	   2534.333	   2528.708	   2526.984	
 05/13-09:30	2541.200	2544.200	2541.200	2543.000	           2707	   2538.650	   2534.558	   2528.900	   2527.020	
 05/13-09:31	2542.600	2542.600	2539.400	2541.200	           1939	   2538.850	   2534.783	   2529.092	   2527.062	
 05/13-09:32	2541.000	2543.800	2540.600	2542.600	           2408	   2539.050	   2535.075	   2529.317	   2527.100	
 05/13-09:33	2542.800	2544.400	2541.600	2544.000	           2622	   2539.267	   2535.375	   2529.558	   2527.146	
 05/13-09:34	2543.800	2544.800	2542.600	2544.000	           2566	   2539.483	   2535.675	   2529.800	   2527.186	
 05/13-09:35	2543.800	2544.000	2540.800	2541.000	           1916	   2539.567	   2535.900	   2529.996	   2527.208	
 05/13-09:36	2540.600	2541.000	2536.600	2537.600	           4503	   2539.517	   2536.067	   2530.171	   2527.214	
 05/13-09:37	2537.400	2537.400	2534.400	2534.800	           3503	   2539.350	   2536.208	   2530.325	   2527.218	
 05/13-09:38	2534.400	2535.400	2529.400	2531.000	           7271	   2539.050	   2536.258	   2530.413	   2527.202	
 05/13-09:39	2531.200	2531.800	2530.000	2531.200	           2984	   2538.767	   2536.292	   2530.504	   2527.178	
 05/13-09:40	2531.200	2531.800	2527.200	2528.800	           5367	   2538.383	   2536.300	   2530.587	   2527.146	
 05/13-09:41	2528.400	2531.400	2527.400	2530.600	           3196	   2538.067	   2536.308	   2530.679	   2527.118	
 05/13-09:42	2530.600	2531.800	2530.400	2531.000	           2274	   2537.750	   2536.317	   2530.775	   2527.094	
 05/13-09:43	2530.600	2531.800	2530.400	2530.600	           1549	   2537.483	   2536.300	   2530.850	   2527.070	
 05/13-09:44	2530.600	2533.000	2530.000	2532.200	           2365	   2537.250	   2536.317	   2530.958	   2527.052	
 05/13-09:45	2532.400	2533.200	2531.600	2531.600	           2009	   2536.917	   2536.317	   2531.079	   2527.014	
 05/13-09:46	2531.600	2532.600	2530.600	2532.000	           1804	   2536.817	   2536.317	   2531.200	   2526.974	
 05/13-09:47	2532.200	2532.200	2530.000	2531.600	           1816	   2536.667	   2536.308	   2531.317	   2526.942	
 05/13-09:48	2531.600	2533.800	2531.400	2532.000	           1831	   2536.567	   2536.308	   2531.450	   2526.912	
 05/13-09:49	2532.000	2534.000	2532.000	2533.000	           1313	   2536.467	   2536.317	   2531.592	   2526.896	
 05/13-09:50	2532.800	2533.000	2530.600	2532.200	           1506	   2536.367	   2536.283	   2531.712	   2526.888	
 05/13-09:51	2532.200	2533.000	2530.200	2531.800	           1693	   2536.267	   2536.283	   2531.817	   2526.880	
 05/13-09:52	2531.800	2531.800	2528.000	2528.600	           4116	   2536.017	   2536.225	   2531.892	   2526.858	
 05/13-09:53	2528.600	2529.400	2525.800	2528.400	           4934	   2535.617	   2536.167	   2531.950	   2526.830	
 05/13-09:54	2528.400	2529.600	2527.400	2527.400	           2095	   2535.250	   2536.092	   2531.950	   2526.814	
 05/13-09:55	2527.600	2528.600	2525.800	2527.000	           2651	   2534.783	   2535.992	   2531.954	   2526.788	
 05/13-09:56	2527.200	2527.800	2526.600	2526.800	           1410	   2534.300	   2535.883	   2531.958	   2526.770	
 05/13-09:57	2526.600	2526.800	2522.200	2524.800	           5567	   2533.767	   2535.767	   2531.950	   2526.746	
 05/13-09:58	2524.600	2525.800	2523.400	2524.200	           2355	   2533.200	   2535.625	   2531.942	   2526.712	
 05/13-09:59	2524.200	2526.400	2524.000	2525.800	           2207	   2532.700	   2535.517	   2531.958	   2526.696	
 05/13-10:00	2525.600	2525.600	2523.800	2524.200	           2588	   2532.067	   2535.358	   2531.971	   2526.672	
 05/13-10:01	2524.800	2526.600	2524.600	2525.800	           2122	   2531.550	   2535.200	   2531.992	   2526.666	
 05/13-10:02	2526.000	2527.800	2526.000	2526.600	           2157	   2531.017	   2535.033	   2532.017	   2526.666	
 05/13-10:03	2526.800	2528.600	2526.600	2527.000	           1717	   2530.450	   2534.858	   2532.042	   2526.664	
