 05/22-09:31	2600.600	2603.200	2600.200	2603.000	           1919	   2603.313	   2600.325	   2597.851	   2595.945	   2626.000	   2610.000	   2576.000	   2560.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:32	2603.200	2603.400	2601.600	2601.600	           1136	   2603.192	   2600.423	   2597.880	   2595.965	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:33	2601.600	2602.200	2600.600	2600.800	           1503	   2603.050	   2600.531	   2597.899	   2595.980	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:34	2600.800	2602.400	2600.200	2601.200	           2143	   2602.904	   2600.623	   2597.890	   2595.993	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:35	2601.400	2602.800	2600.200	2600.200	           1923	   2602.712	   2600.721	   2597.905	   2596.005	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:36	2600.400	2600.400	2596.200	2596.800	           6928	   2602.421	   2600.752	   2597.901	   2596.001	   2626.000	   2610.000	   2576.000	   2560.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:37	2596.800	2598.200	2595.400	2595.400	           3815	   2602.071	   2600.769	   2597.895	   2595.990	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:38	2595.400	2597.400	2595.000	2597.400	           2972	   2601.829	   2600.804	   2597.897	   2595.988	   2626.000	   2610.000	   2576.000	   2560.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:39	2597.000	2599.400	2596.600	2597.400	           3214	   2601.567	   2600.833	   2597.900	   2595.984	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:40	2597.200	2602.000	2596.800	2601.400	           4027	   2601.479	   2600.933	   2597.937	   2595.999	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:41	2601.600	2603.000	2601.200	2602.600	           3173	   2601.462	   2601.065	   2598.003	   2596.022	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:42	2602.600	2607.600	2602.200	2605.400	           6903	   2601.533	   2601.271	   2598.081	   2596.053	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:43	2605.000	2606.400	2604.200	2605.600	           3432	   2601.613	   2601.471	   2598.169	   2596.072	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:44	2605.400	2607.200	2604.800	2605.400	           2958	   2601.775	   2601.673	   2598.258	   2596.094	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:45	2605.400	2607.800	2605.400	2607.800	           3562	   2602.046	   2601.890	   2598.359	   2596.120	   2626.000	   2610.000	   2576.000	   2560.000	      0.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:46	2608.000	2613.400	2608.000	2612.000	           8853	   2602.337	   2602.142	   2598.511	   2596.163	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:47	2612.000	2616.400	2611.800	2614.200	           7724	   2602.742	   2602.396	   2598.675	   2596.212	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      1.000	      0.000	      0.000	      0.000	
