 05/28-09:26	2577.400	2578.000	2576.600	2578.000	            828	   2576.967	   2579.038	   2580.015	   2584.512	   2599.000	   2586.000	   2560.000	   2547.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	   2576.967	   2579.038	   2580.015	   2584.512	   2634.800	   2566.000	     -0.600	      0.000	           	      1.000	      0.000	      0.880	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.400	      0.600	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2577.350	   2576.967	   2579.038	   2580.015	   2584.512	     -3.000	     -2.000	     -1.000	     -6.512	      0.000	      0.000	      1.000	    828.000	   1035.200	   1206.400	
 05/28-09:27	2577.800	2578.400	2577.200	2578.400	            985	   2576.925	   2578.992	   2579.952	   2584.469	   2599.000	   2586.000	   2560.000	   2547.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	   2576.925	   2578.992	   2579.952	   2584.469	   2634.800	   2566.000	     -0.200	      0.000	           	      2.000	      0.000	      0.880	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.400	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2577.750	   2576.925	   2578.992	   2579.952	   2584.469	     -3.000	     -2.000	     -1.000	     -6.069	      0.000	      0.000	      1.000	    985.000	   1025.200	   1161.600	
 05/28-09:28	2578.000	2578.600	2577.600	2577.600	            826	   2576.833	   2578.954	   2579.892	   2584.433	   2599.000	   2586.000	   2560.000	   2547.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	   2576.833	   2578.954	   2579.892	   2584.433	   2634.800	   2566.000	      0.000	      0.000	           	      3.000	      0.000	      2.195	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.200	     -0.800	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2577.750	   2576.833	   2578.954	   2579.892	   2584.433	     -3.000	     -2.000	     -1.000	     -6.833	      0.000	      0.000	      1.000	    826.000	   1014.200	   1141.400	
 05/28-09:29	2577.600	2578.000	2577.000	2577.800	            697	   2576.775	   2578.929	   2579.827	   2584.395	   2599.000	   2586.000	   2560.000	   2547.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	   2576.775	   2578.929	   2579.827	   2584.395	   2634.800	   2566.000	     -0.600	      0.000	           	      4.000	      0.000	      2.036	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.200	      0.200	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2577.850	   2576.775	   2578.929	   2579.827	   2584.395	     -3.000	     -2.000	     -1.000	     -6.595	      0.000	      0.000	      1.000	    697.000	    837.400	   1061.100	
 05/28-09:30	2577.800	2578.000	2575.200	2575.600	           1859	   2576.667	   2578.863	   2579.758	   2584.347	   2599.000	   2586.000	   2560.000	   2547.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	   2576.667	   2578.863	   2579.758	   2584.347	   2634.800	   2566.000	     -0.600	      0.000	           	      5.000	      0.000	      0.260	      0.000	     -1.000	      0.000	      0.000	      0.000	      1.000	      2.800	     -2.200	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2577.450	   2576.667	   2578.863	   2579.758	   2584.347	     -3.000	     -2.000	     -1.000	     -8.747	      0.000	      0.000	      1.000	   1859.000	   1039.000	   1172.100	
 05/28-09:31	2575.800	2578.000	2575.800	2576.400	           1513	   2576.550	   2578.800	   2579.690	   2584.298	   2599.000	   2586.000	   2560.000	   2547.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	   2576.550	   2578.800	   2579.690	   2584.298	   2634.800	   2566.000	     -0.600	      0.000	           	      6.000	      0.000	      1.189	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.200	      0.800	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2577.150	   2576.550	   2578.800	   2579.690	   2584.298	     -3.000	     -2.000	     -1.000	     -7.898	      0.000	      0.000	      1.000	   1513.000	   1176.000	   1105.600	
 05/28-09:32	2576.400	2577.000	2570.000	2571.400	           5166	   2576.300	   2578.671	   2579.581	   2584.238	   2599.000	   2586.000	   2560.000	   2547.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	     10.000	      0.000	      0.000	   2576.300	   2578.671	   2579.581	   2584.238	   2634.800	   2566.000	     -1.000	      0.000	           	      7.000	      1.000	      0.215	     -1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      6.400	     -5.000	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2575.800	   2576.300	   2578.671	   2579.581	   2584.238	     -3.000	     -2.000	     -1.000	    -12.838	      0.000	      0.000	      1.000	   5166.000	   2012.200	   1518.700	
 05/28-09:33	2571.800	2573.200	2567.200	2569.200	           7145	   2575.967	   2578.471	   2579.438	   2584.158	   2599.000	   2586.000	   2560.000	   2547.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	     10.000	      0.000	      1.000	   2575.967	   2578.471	   2579.438	   2584.158	   2634.800	   2566.000	     -4.800	      0.000	           	      8.000	      1.000	      0.123	     -1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      6.400	     -2.200	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2574.050	   2575.967	   2578.471	   2579.438	   2584.158	     -3.000	     -2.000	     -1.000	    -14.958	      0.000	      0.000	      1.000	   7145.000	   3276.000	   2145.100	
 05/28-09:34	2569.400	2569.400	2567.800	2567.800	           3486	   2575.658	   2578.246	   2579.275	   2584.078	   2599.000	   2586.000	   2560.000	   2547.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	     10.000	      0.000	      0.000	   2575.658	   2578.246	   2579.275	   2584.078	   2634.800	   2566.000	     -8.600	      0.000	           	      9.000	      1.000	      0.000	     -1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      8.600	     -1.400	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2572.100	   2575.658	   2578.246	   2579.275	   2584.078	     -3.000	     -2.000	     -1.000	    -16.278	      0.000	      0.000	      1.000	   3486.000	   3833.800	   2335.600	
 05/28-09:35	2567.800	2569.400	2566.000	2568.600	           4019	   2575.358	   2578.042	   2579.110	   2583.994	   2599.000	   2586.000	   2560.000	   2547.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	     10.000	      0.000	      1.000	   2575.358	   2578.042	   2579.110	   2583.994	   2634.800	   2566.000	     -7.600	      0.000	           	     10.000	      1.000	      0.378	     -1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      2.800	      0.800	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	   2570.700	   2575.358	   2578.042	   2579.110	   2583.994	     -3.000	     -2.000	     -1.000	    -15.394	      0.000	      0.000	      1.000	   4019.000	   4265.800	   2652.400	
