 06/04-09:39	2585.600	2585.600	2583.000	2583.000	           1918	     24.000	           	           	           	           	   2590.180	   2593.470	   2596.742	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:40	2583.000	2583.200	2581.200	2582.400	           2907	     25.000	           	           	           	           	   2589.667	   2593.286	   2596.597	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:41	2582.800	2583.200	2581.000	2582.400	           2404	     26.000	           	           	           	           	   2589.167	   2593.103	   2596.448	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:42	2582.200	2582.800	2577.200	2577.400	           5331	     27.000	           	           	           	           	   2588.527	   2592.830	   2596.230	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:43	2578.000	2581.200	2578.000	2581.000	           3141	     28.000	           	           	           	           	   2588.013	   2592.610	   2596.050	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:44	2581.000	2582.000	2581.000	2581.000	           2010	     29.000	           	           	           	           	   2587.480	   2592.347	   2595.875	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:45	2581.000	2581.200	2578.200	2581.200	           3311	     30.000	           	           	           	           	   2586.953	   2592.113	   2595.697	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:46	2581.000	2582.600	2580.800	2582.600	           2405	     31.000	           	           	           	           	   2586.507	   2591.890	   2595.522	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:47	2582.600	2583.400	2582.000	2582.000	           1871	     32.000	           	           	           	           	   2585.988	   2591.657	   2595.338	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:48	2582.400	2582.400	2580.800	2581.400	           1260	     33.000	           	           	           	           	   2585.567	   2591.410	   2595.152	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:49	2581.600	2582.000	2575.800	2579.600	           5260	     34.000	           	           	           	           	   2585.100	   2591.140	   2594.969	           	           	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:50	2579.600	2581.400	2576.600	2576.600	           3466	     35.000	           	           	           	           	   2584.559	   2590.826	   2594.755	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:51	2576.600	2578.200	2575.000	2575.000	           3498	     36.000	           	           	           	           	   2583.966	   2590.490	   2594.507	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:52	2575.000	2575.000	2572.200	2573.600	           7367	     37.000	           	           	           	           	   2583.327	   2590.130	   2594.255	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:53	2573.200	2574.600	2572.200	2574.200	           2460	     38.000	           	           	           	           	   2582.706	   2589.770	   2594.008	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:54	2573.800	2574.800	2573.400	2574.400	           2785	     39.000	           	           	           	           	   2582.068	   2589.354	   2593.772	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:55	2574.800	2577.000	2573.200	2573.200	           3142	     40.000	           	           	           	           	   2581.460	   2588.944	   2593.503	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:56	2573.200	2574.800	2572.400	2574.400	           2884	     41.000	           	           	           	           	   2580.886	   2588.560	   2593.248	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:57	2574.800	2576.600	2574.200	2576.600	           1824	     42.000	           	           	           	           	   2580.541	   2588.227	   2593.007	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:58	2576.600	2577.200	2575.800	2575.800	           1954	     43.000	           	           	           	           	   2580.274	   2587.874	   2592.765	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-09:59	2575.800	2577.800	2575.800	2577.400	           1926	     44.000	           	           	           	           	   2580.040	   2587.547	   2592.533	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:00	2577.000	2579.000	2577.000	2579.000	           3191	     45.000	           	           	           	           	   2579.867	   2587.233	   2592.325	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:01	2578.800	2579.600	2578.200	2579.400	           2472	     46.000	           	           	           	           	   2579.726	   2586.923	   2592.120	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:02	2579.200	2579.800	2578.000	2579.000	           2216	     47.000	           	           	           	           	   2579.640	   2586.590	   2591.930	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:03	2579.400	2580.000	2578.200	2579.200	           1865	     48.000	           	           	           	           	   2579.507	   2586.257	   2591.730	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:04	2578.800	2580.400	2578.600	2579.600	           1699	     49.000	           	           	           	           	   2579.320	   2585.933	   2591.517	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:05	2580.200	2581.400	2578.400	2581.400	           2141	     50.000	           	           	           	           	   2579.254	   2585.651	   2591.319	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:06	2581.800	2581.800	2578.400	2578.400	           2916	     51.000	           	           	           	           	   2579.047	   2585.310	   2591.085	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:07	2578.800	2579.000	2577.200	2577.800	           2057	     52.000	           	           	           	           	   2578.813	   2584.967	   2590.867	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:08	2577.800	2578.000	2575.600	2577.400	           2100	     53.000	           	           	           	           	   2578.546	   2584.617	   2590.653	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:09	2577.600	2577.600	2576.200	2576.600	           1290	     54.000	           	           	           	           	   2578.333	   2584.257	   2590.435	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:10	2576.600	2576.800	2575.400	2576.400	           1857	     55.000	           	           	           	           	   2578.133	   2583.900	   2590.208	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:11	2576.000	2577.000	2575.200	2576.800	           2035	     56.000	           	           	           	           	   2577.947	   2583.557	   2589.990	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:12	2576.600	2577.600	2574.800	2575.200	           2599	     57.000	           	           	           	           	   2577.873	   2583.200	   2589.755	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:13	2575.000	2575.600	2573.000	2573.000	           2818	     58.000	           	           	           	           	   2577.606	   2582.810	   2589.503	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:14	2572.800	2572.800	2569.200	2571.400	           8410	     59.000	           	           	           	           	   2577.288	   2582.384	   2589.259	           	           	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:15	2571.000	2571.800	2569.000	2569.000	           4100	     60.000	           	           	           	           	   2576.881	   2581.917	   2588.997	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:16	2568.600	2571.800	2568.000	2570.000	           4930	     61.000	           	           	           	           	   2576.460	   2581.484	   2588.765	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:17	2570.400	2571.400	2568.600	2570.000	           2129	     62.000	           	           	           	           	   2576.060	   2581.024	   2588.523	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:18	2570.200	2571.800	2570.000	2571.200	           1718	     63.000	           	           	           	           	   2575.721	   2580.644	   2588.305	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:19	2571.200	2573.600	2571.000	2573.400	           2438	     64.000	           	           	           	           	   2575.512	   2580.306	   2588.122	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:20	2573.400	2573.600	2572.600	2573.000	           1900	     65.000	           	           	           	           	   2575.394	   2579.977	   2587.922	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:21	2572.600	2573.800	2572.400	2573.400	           1529	     66.000	           	           	           	           	   2575.342	   2579.654	   2587.739	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
