 06/13-09:16	2459.400	2459.400	2448.800	2449.800	           9739	   2480.017	   2478.071	   2484.229	   2506.497	
 06/13-09:17	2450.000	2452.600	2450.000	2450.800	           2838	   2478.975	   2477.700	   2483.825	   2506.162	
 06/13-09:18	2450.600	2451.800	2446.600	2447.000	           3401	   2477.833	   2477.267	   2483.390	   2505.814	
 06/13-09:19	2446.600	2447.800	2444.800	2447.200	           3077	   2476.675	   2476.896	   2482.988	   2505.471	
 06/13-09:20	2446.800	2449.200	2446.800	2448.400	           1982	   2475.517	   2476.521	   2482.658	   2505.132	
 06/13-09:21	2449.200	2449.200	2447.200	2447.200	           1086	   2474.250	   2476.100	   2482.329	   2504.790	
 06/13-09:22	2447.400	2448.400	2443.600	2445.000	           3008	   2472.967	   2475.633	   2481.965	   2504.432	
 06/13-09:23	2445.200	2445.200	2442.000	2442.600	           2642	   2471.642	   2475.108	   2481.587	   2504.065	
 06/13-09:24	2442.400	2443.600	2441.200	2443.000	           1798	   2470.342	   2474.558	   2481.219	   2503.702	
 06/13-09:25	2443.200	2443.200	2438.600	2440.200	           2689	   2468.950	   2473.942	   2480.825	   2503.327	
 06/13-09:26	2440.200	2440.800	2433.800	2433.800	           4176	   2467.358	   2473.229	   2480.356	   2502.928	
 06/13-09:27	2434.000	2436.400	2431.400	2432.400	           3401	   2465.692	   2472.579	   2479.875	   2502.521	
 06/13-09:28	2432.400	2435.800	2432.000	2434.200	           2421	   2464.100	   2471.904	   2479.417	   2502.115	
 06/13-09:29	2434.400	2436.600	2434.400	2435.800	           1882	   2462.567	   2471.246	   2478.958	   2501.722	
 06/13-09:30	2436.200	2437.200	2435.400	2436.400	           1654	   2461.092	   2470.571	   2478.508	   2501.326	
 06/13-09:31	2436.600	2437.200	2434.400	2435.600	           1809	   2459.567	   2469.875	   2478.025	   2500.925	
 06/13-09:32	2435.400	2435.600	2429.000	2431.600	           4430	   2457.883	   2469.163	   2477.456	   2500.505	
 06/13-09:33	2431.000	2433.000	2428.200	2429.600	           3624	   2456.092	   2468.383	   2476.885	   2500.076	
 06/13-09:34	2430.000	2431.600	2427.600	2430.400	           2951	   2454.383	   2467.621	   2476.344	   2499.652	
 06/13-09:35	2430.400	2430.800	2421.400	2421.400	           5186	   2452.442	   2466.683	   2475.744	   2499.187	
 06/13-09:36	2420.800	2422.200	2418.600	2421.200	           5586	   2450.500	   2465.746	   2475.140	   2498.721	
 06/13-09:37	2421.600	2423.200	2419.200	2422.800	           2619	   2448.600	   2464.817	   2474.579	   2498.261	
 06/13-09:38	2422.800	2423.400	2420.200	2421.200	           2497	   2446.650	   2463.917	   2473.992	   2497.797	
 06/13-09:39	2421.000	2421.400	2416.200	2421.000	           3070	   2444.717	   2462.996	   2473.417	   2497.327	
 06/13-09:40	2421.000	2421.200	2417.200	2418.000	           2632	   2442.617	   2461.971	   2472.806	   2496.840	
 06/13-09:41	2418.000	2421.000	2413.600	2420.400	           3962	   2440.658	   2461.038	   2472.223	   2496.370	
 06/13-09:42	2420.600	2421.400	2415.000	2417.800	           2928	   2438.608	   2460.017	   2471.602	   2495.892	
 06/13-09:43	2417.800	2420.400	2416.000	2417.600	           2403	   2436.542	   2458.983	   2470.977	   2495.413	
 06/13-09:44	2417.800	2419.000	2414.800	2416.600	           2982	   2434.517	   2457.904	   2470.331	   2494.935	
 06/13-09:45	2417.000	2418.200	2412.800	2414.600	           4366	   2432.450	   2456.788	   2469.683	   2494.452	
 06/13-09:46	2414.800	2415.200	2407.800	2408.600	           5175	   2431.083	   2455.550	   2468.990	   2493.947	
 06/13-09:47	2409.200	2409.800	2399.000	2400.600	           7587	   2429.408	   2454.192	   2468.210	   2493.413	
 06/13-09:48	2400.400	2402.200	2398.400	2401.200	           2993	   2427.883	   2452.858	   2467.446	   2492.879	
 06/13-09:49	2401.400	2404.600	2401.000	2403.800	           3049	   2426.433	   2451.554	   2466.723	   2492.357	
 06/13-09:50	2403.800	2403.800	2400.000	2400.000	           2253	   2424.817	   2450.167	   2465.952	   2491.819	
 06/13-09:51	2400.200	2401.200	2383.400	2386.600	          10085	   2422.800	   2448.525	   2465.060	   2491.231	
 06/13-09:52	2386.800	2387.200	2377.400	2380.400	           7291	   2420.642	   2446.804	   2464.110	   2490.618	
 06/13-09:53	2380.200	2381.600	2374.800	2377.000	           4793	   2418.458	   2445.050	   2463.131	   2489.993	
 06/13-09:54	2377.200	2384.800	2377.000	2384.400	           4208	   2416.508	   2443.425	   2462.198	   2489.401	
 06/13-09:55	2384.800	2392.000	2384.800	2387.800	           5931	   2414.758	   2441.854	   2461.302	   2488.821	
 06/13-09:56	2388.000	2390.000	2386.600	2387.800	           5183	   2413.225	   2440.292	   2460.419	   2488.235	
 06/13-09:57	2387.800	2388.600	2385.600	2386.600	           1956	   2411.700	   2438.696	   2459.531	   2487.647	
 06/13-09:58	2386.200	2390.400	2385.600	2389.400	           2717	   2410.208	   2437.154	   2458.660	   2487.072	
 06/13-09:59	2389.600	2396.600	2389.400	2391.600	           6102	   2408.733	   2435.650	   2457.842	   2486.504	
 06/13-10:00	2391.600	2391.800	2386.200	2386.600	           3607	   2407.075	   2434.083	   2456.973	   2485.918	
 06/13-10:01	2387.400	2387.400	2384.800	2387.000	           2525	   2405.450	   2432.508	   2456.104	   2485.333	
 06/13-10:02	2386.800	2388.000	2386.000	2387.400	           1236	   2403.983	   2430.933	   2455.244	   2484.752	
 06/13-10:03	2387.600	2388.600	2383.000	2383.800	           2609	   2402.458	   2429.275	   2454.354	   2484.162	
 06/13-10:04	2383.600	2387.600	2383.600	2386.400	           1758	   2400.983	   2427.683	   2453.498	   2483.580	
 06/13-10:05	2386.800	2387.600	2384.800	2385.200	            903	   2399.775	   2426.108	   2452.646	   2482.993	
 06/13-10:06	2385.600	2392.000	2385.400	2390.400	           3033	   2398.758	   2424.629	   2451.819	   2482.427	
 06/13-10:07	2390.400	2391.600	2389.000	2391.200	           2633	   2397.700	   2423.150	   2450.994	   2481.868	
 06/13-10:08	2390.800	2392.600	2388.800	2392.600	           2148	   2396.750	   2421.700	   2450.185	   2481.312	
 06/13-10:09	2393.000	2393.800	2388.000	2388.000	           3079	   2395.650	   2420.183	   2449.340	   2480.738	
 06/13-10:10	2388.200	2389.000	2387.000	2387.800	           2115	   2394.642	   2418.629	   2448.508	   2480.179	
 06/13-10:11	2387.600	2389.400	2386.600	2387.800	           1628	   2393.550	   2417.104	   2447.742	   2479.614	
