 11/05-09:26	2364.400	2367.000	2364.400	2366.200	           2654	     11.000	           	           	   2378.647	   2379.720	   2381.588	           	           	     -0.512	     -0.213	     -0.347	      0.000	     11.000	   2366.271	     -1.125	   2378.647	   2379.720	   2381.588	           	      0.000	      0.000	           	      2.941	      0.000	           	           	     -0.633	           	     -1.073	           	    -12.447	      0.000	      0.000	      0.000	      0.000	     -1.125	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/05-09:27	2366.200	2367.400	2365.000	2365.000	           1936	     12.000	           	           	   2378.086	   2379.473	   2381.402	           	           	     -0.561	     -0.247	     -0.357	      0.000	     12.000	   2365.198	     -1.073	   2378.086	   2379.473	   2381.402	           	      0.000	      0.000	           	      3.315	      0.000	           	           	     -0.687	           	     -1.387	           	    -13.086	      0.000	      0.000	      0.000	      0.000	     -1.073	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/05-09:28	2365.000	2367.400	2364.000	2366.200	           2265	     13.000	           	           	   2377.547	   2379.263	   2381.232	           	           	     -0.540	     -0.210	     -0.357	      0.000	     13.000	   2365.802	      0.604	   2377.547	   2379.263	   2381.232	           	      0.000	      1.000	           	      3.685	      0.000	           	           	     -0.703	           	     -1.716	           	    -11.347	      0.000	      0.000	      0.000	      0.000	      0.604	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/05-09:29	2366.200	2366.400	2363.200	2364.000	           2937	     14.000	           	           	   2376.926	   2379.043	   2381.037	           	           	     -0.621	     -0.220	     -0.365	      0.000	     14.000	   2365.063	     -0.740	   2376.926	   2379.043	   2381.037	           	      1.000	      0.000	           	      4.111	      0.000	           	           	     -0.722	           	     -2.117	           	    -12.926	      0.000	      0.000	      0.000	      0.000	     -0.740	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/05-09:30	2364.000	2364.400	2362.400	2362.400	           2849	     15.000	           	           	   2376.253	   2378.743	   2380.842	           	           	     -0.673	     -0.300	     -0.390	      0.000	     15.000	   2364.198	     -0.865	   2376.253	   2378.743	   2380.842	           	      0.000	      0.000	           	      4.588	      0.000	           	           	     -0.747	           	     -2.490	           	    -13.853	      0.000	      0.000	      0.000	      1.000	     -0.865	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/05-09:31	2362.200	2363.200	2361.200	2362.400	           3013	     16.000	           	           	   2375.594	   2378.447	   2380.640	           	           	     -0.659	     -0.297	     -0.396	      0.000	     16.000	   2362.938	     -1.260	   2375.594	   2378.447	   2380.640	           	      0.000	      0.000	           	      5.046	      0.000	           	           	     -0.761	           	     -2.853	           	    -13.194	      0.000	      0.000	      0.000	      0.000	     -1.260	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/05-09:32	2362.400	2362.800	2357.200	2357.200	           5419	     17.000	           	           	   2374.767	   2378.043	   2380.408	           	           	     -0.827	     -0.403	     -0.433	      0.000	     17.000	   2360.667	     -2.271	   2374.767	   2378.043	   2380.408	           	      0.000	      0.000	           	      5.642	      0.000	           	           	     -0.823	           	     -3.277	           	    -17.567	      0.000	      0.000	      0.000	      1.000	     -2.271	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/05-09:33	2356.800	2358.800	2352.400	2356.400	           7625	     18.000	           	           	   2373.900	   2377.647	   2380.157	           	           	     -0.867	     -0.396	     -0.483	      0.000	     18.000	   2358.667	     -2.000	   2373.900	   2377.647	   2380.157	           	      0.000	      0.000	           	      6.257	      0.000	           	           	     -0.880	           	     -3.747	           	    -17.500	      0.000	      0.000	      0.000	      1.000	     -2.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/05-09:34	2355.800	2357.600	2354.800	2355.600	           3770	     19.000	           	           	   2372.993	   2377.223	   2379.897	           	           	     -0.907	     -0.424	     -0.511	      0.000	     19.000	   2356.396	     -2.271	   2372.993	   2377.223	   2379.897	           	      0.000	      0.000	           	      6.904	      0.000	           	           	     -0.945	           	     -4.230	           	    -17.393	      0.000	      0.000	      0.000	      1.000	     -2.271	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 11/05-09:35	2355.800	2356.000	2352.000	2353.200	           5252	     20.000	           	           	   2371.960	   2376.730	   2379.618	           	           	     -1.032	     -0.493	     -0.538	      0.000	     20.000	   2355.073	     -1.323	   2371.960	   2376.730	   2379.618	           	      0.000	      0.000	           	      7.658	      0.000	           	           	     -1.022	           	     -4.770	           	    -18.760	      0.000	      0.000	      0.000	      1.000	     -1.323	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
