 07/18-09:40	2256.000	2256.800	2252.600	2253.200	           3537	     25.000	   2256.908	   2262.396	   2270.367	   2284.442	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -3.708	      0.000	      0.000	
 07/18-09:41	2253.200	2253.400	2241.000	2243.000	           9496	     26.000	   2256.175	   2261.906	   2269.977	   2284.262	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -13.175	      0.000	      0.000	
 07/18-09:42	2243.000	2243.800	2229.200	2235.000	          10027	     27.000	   2255.221	   2261.337	   2269.535	   2284.059	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -20.221	      0.000	      1.000	
 07/18-09:43	2235.800	2238.200	2234.000	2238.200	           4969	     28.000	   2254.367	   2260.810	   2269.138	   2283.869	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -16.167	      0.000	      0.000	
 07/18-09:44	2238.000	2238.600	2233.800	2236.600	           2868	     29.000	   2253.433	   2260.296	   2268.717	   2283.667	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -16.833	      0.000	      0.000	
 07/18-09:45	2236.400	2238.000	2231.200	2232.600	           4481	     30.000	   2252.379	   2259.702	   2268.268	   2283.455	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -19.779	      0.000	      0.000	
 07/18-09:46	2232.200	2232.200	2224.600	2230.400	           8023	     31.000	   2251.604	   2259.067	   2267.815	   2283.212	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -21.204	      0.000	      1.000	
 07/18-09:47	2230.200	2232.000	2227.800	2230.600	           2892	     32.000	   2251.021	   2258.390	   2267.364	   2282.959	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -20.421	      0.000	      0.000	
 07/18-09:48	2230.600	2233.000	2228.600	2231.200	           2700	     33.000	   2250.354	   2257.781	   2266.937	   2282.705	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -19.154	      0.000	      0.000	
 07/18-09:49	2231.200	2233.800	2229.400	2232.800	           2807	     34.000	   2249.771	   2257.146	   2266.511	   2282.449	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -16.971	      0.000	      0.000	
 07/18-09:50	2233.200	2235.400	2232.600	2233.200	           2747	     35.000	   2249.208	   2256.517	   2266.125	   2282.204	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -16.008	      0.000	      0.000	
 07/18-09:51	2232.400	2236.800	2231.800	2233.200	           3211	     36.000	   2248.538	   2255.892	   2265.737	   2281.960	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -15.338	      0.000	      0.000	
 07/18-09:52	2233.600	2233.600	2228.000	2229.800	           3506	     37.000	   2247.712	   2255.194	   2265.285	   2281.698	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -17.912	      0.000	      0.000	
 07/18-09:53	2229.800	2231.000	2228.000	2229.800	           2308	     38.000	   2247.000	   2254.519	   2264.839	   2281.446	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -17.200	      0.000	      0.000	
 07/18-09:54	2230.400	2232.200	2228.200	2228.200	           2029	     39.000	   2246.208	   2253.833	   2264.366	   2281.168	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -18.008	      0.000	      0.000	
 07/18-09:55	2228.400	2234.000	2225.000	2233.200	           5683	     40.000	   2245.550	   2253.212	   2263.950	   2280.862	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -12.350	      0.000	      0.000	
 07/18-09:56	2232.800	2239.000	2232.600	2235.400	           5730	     41.000	   2245.017	   2252.642	   2263.558	   2280.574	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -9.617	      0.000	      0.000	
 07/18-09:57	2235.400	2235.800	2232.200	2233.800	           2103	     42.000	   2244.425	   2252.046	   2263.187	   2280.289	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -10.625	      0.000	      0.000	
 07/18-09:58	2233.200	2235.400	2232.400	2235.400	           1593	     43.000	   2243.825	   2251.479	   2262.842	   2279.989	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	     -8.425	      0.000	      0.000	
 07/18-09:59	2235.000	2235.000	2231.200	2232.000	           2111	     44.000	   2243.113	   2250.896	   2262.450	   2279.664	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -11.113	      0.000	      0.000	
 07/18-10:00	2231.400	2231.600	2223.000	2223.600	           7640	     45.000	   2242.033	   2250.156	   2262.005	   2279.313	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -18.433	      0.000	      0.000	
 07/18-10:01	2223.200	2227.400	2221.200	2223.600	           5307	     46.000	   2240.979	   2249.444	   2261.532	   2278.963	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -17.379	      0.000	      0.000	
 07/18-10:02	2223.800	2228.800	2221.600	2228.200	           4034	     47.000	   2239.717	   2248.840	   2261.083	   2278.653	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	    -11.517	      0.000	      0.000	
