 06/18-09:26	2401.600	2401.800	2399.000	2399.800	           1103	     11.000	   2402.000	           	   2397.693	   2396.167	   2398.325	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      1.000	      1.000	      1.000	      0.000	      1.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	
 06/18-09:27	2399.800	2401.000	2399.600	2400.600	            661	     12.000	   2402.000	           	   2397.941	   2396.240	   2398.310	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	
 06/18-09:28	2400.800	2401.600	2400.400	2400.600	            508	     13.000	   2402.000	           	   2398.147	   2396.303	   2398.293	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	     10.000	      0.000	      0.000	
 06/18-09:29	2400.400	2401.600	2400.400	2401.000	            542	     14.000	   2402.000	           	   2398.360	   2396.370	   2398.267	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	     10.000	      0.000	      0.000	
 06/18-09:30	2400.800	2401.800	2399.800	2401.800	           1059	     15.000	   2402.000	           	   2398.593	   2396.437	   2398.240	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	
 06/18-09:31	2401.600	2402.800	2401.200	2402.200	           1615	     16.000	   2402.000	           	   2398.827	   2396.513	   2398.230	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      1.000	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	           	      0.000	      1.000	     10.000	      0.000	      0.000	
 06/18-09:32	2402.200	2403.800	2401.600	2401.600	           2025	     17.000	   2402.000	           	   2399.027	   2396.590	   2398.203	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      1.000	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	     10.000	      0.000	      0.000	
 06/18-09:33	2401.600	2401.600	2399.600	2400.000	           1612	     18.000	   2402.000	           	   2399.194	   2396.660	   2398.173	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	           	      0.000	      0.000	     10.000	      0.000	      0.000	
 06/18-09:34	2400.000	2400.200	2396.600	2396.600	           4016	     19.000	   2402.000	           	   2399.253	   2396.717	   2398.097	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	           	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	           	      0.000	      0.000	     10.000	      0.000	      0.000	
 06/18-09:35	2396.600	2398.200	2396.600	2397.400	           1483	     20.000	   2402.000	           	   2399.327	   2396.757	   2398.042	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	           	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	           	      0.000	      0.000	     10.000	      0.000	      0.000	
