 09/02-09:26	2320.200	2321.000	2318.000	2319.000	           1847	     11.000	   2310.208	   2305.508	   2310.021	   2311.108	   2320.211	      0.492	      0.246	     -0.017	      0.000	     11.000	   2319.500	   2310.208	   2305.508	   2310.021	   2311.108	      5.600	      0.000	      4.700	      0.000	      5.600	      0.000	      0.305	     -0.001	     -1.088	      4.700	      7.892	      8.792	      0.000	      0.000	      0.000	      0.000	     -0.083	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/02-09:27	2318.800	2319.400	2318.600	2319.200	            834	     12.000	   2310.667	   2305.738	   2310.020	   2311.211	   2320.201	      0.458	      0.229	     -0.017	      0.000	     12.000	   2319.417	   2310.667	   2305.738	   2310.020	   2311.211	      5.473	      0.000	      4.929	      0.000	      5.473	      0.000	      0.350	     -0.016	     -1.191	      4.929	      7.989	      8.533	      0.000	      0.000	      0.000	      0.000	     -0.083	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/02-09:28	2319.600	2321.800	2319.400	2321.400	           2736	     13.000	   2311.250	   2306.042	   2310.009	   2311.324	   2320.192	      0.583	      0.304	     -0.011	      0.000	     13.000	   2319.917	   2311.250	   2306.042	   2310.009	   2311.324	      5.283	      0.000	      5.208	      0.000	      5.283	      0.000	      0.396	     -0.028	     -1.315	      5.208	     10.075	     10.150	      0.000	      0.000	      0.000	      0.000	      0.500	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/02-09:29	2321.600	2322.200	2320.600	2321.200	           2242	     14.000	   2311.817	   2306.367	   2309.993	   2311.420	   2320.182	      0.567	      0.325	     -0.027	      0.000	     14.000	   2320.583	   2311.817	   2306.367	   2309.993	   2311.420	      5.450	      0.000	      5.450	      0.000	      5.054	      0.000	      0.404	     -0.044	     -1.428	      5.450	      9.780	      9.383	      0.000	      0.000	      0.000	      0.000	      0.667	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/02-09:30	2321.200	2321.600	2319.400	2320.200	           2384	     15.000	   2312.325	   2306.721	   2309.978	   2311.519	   2320.169	      0.508	      0.354	     -0.031	      0.000	     15.000	   2320.917	   2312.325	   2306.721	   2309.978	   2311.519	      5.604	      0.000	      5.604	      0.000	      4.798	      0.000	      0.411	     -0.043	     -1.541	      5.604	      8.681	      7.875	      0.000	      0.000	      0.000	      0.000	      0.333	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/02-09:31	2319.600	2322.600	2319.600	2322.600	           1811	     16.000	   2312.967	   2307.129	   2310.010	   2311.625	   2320.158	      0.642	      0.408	      0.018	      0.000	     16.000	   2321.333	   2312.967	   2307.129	   2310.010	   2311.625	      5.837	      0.000	      5.837	      0.000	      4.495	      0.000	      0.414	     -0.009	     -1.614	      5.837	     10.976	      9.634	      0.000	      0.000	      0.000	      0.000	      0.417	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/02-09:32	2322.600	2323.800	2319.200	2319.400	           4363	     17.000	   2313.417	   2307.438	   2309.984	   2311.723	   2320.144	      0.450	      0.308	      0.006	      1.000	     17.000	   2320.750	   2313.417	   2307.438	   2309.984	   2311.723	      5.979	      0.000	      5.979	      0.000	      4.285	      0.000	      0.398	     -0.025	     -1.739	      5.979	      7.677	      5.983	      0.000	      0.000	      0.000	      0.000	     -0.583	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/02-09:33	2319.200	2320.200	2318.600	2319.400	           2421	     18.000	   2313.892	   2307.708	   2309.935	   2311.828	   2320.129	      0.475	      0.271	     -0.075	      0.000	     18.000	   2320.500	   2313.892	   2307.708	   2309.935	   2311.828	      6.183	      0.000	      6.183	      0.000	      4.120	      0.000	      0.407	     -0.057	     -1.893	      6.183	      7.572	      5.508	      0.000	      0.000	      0.000	      0.000	     -0.250	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/02-09:34	2319.400	2319.800	2318.600	2318.800	           1806	     19.000	   2314.350	   2307.958	   2309.881	   2311.921	   2320.115	      0.458	      0.250	     -0.103	      0.000	     19.000	   2319.167	   2314.350	   2307.958	   2309.881	   2311.921	      6.392	      0.000	      6.392	      0.000	      3.963	      0.000	      0.402	     -0.097	     -2.040	      6.392	      6.879	      4.450	      0.000	      0.000	      0.000	      0.000	     -1.333	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 09/02-09:35	2318.600	2318.800	2313.000	2316.200	           6299	     20.000	   2314.692	   2308.196	   2309.807	   2312.003	   2320.097	      0.342	      0.238	     -0.128	      0.000	     20.000	   2318.167	   2314.692	   2308.196	   2309.807	   2312.003	      6.496	      0.000	      6.496	      0.000	      3.808	      0.000	      0.379	     -0.203	     -2.196	      6.496	      4.197	      1.508	      0.000	      0.000	      0.000	      0.000	     -1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
