 07/15-09:16	2297.600	2297.600	2289.200	2293.000	           6102	      1.000	   2268.054	   2270.856	   2284.400	   2299.295	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:17	2293.400	2293.800	2289.000	2291.000	           2915	      2.000	   2268.729	   2271.100	   2284.223	   2299.197	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:18	2291.800	2291.800	2289.400	2289.600	           1693	      3.000	   2269.367	   2271.188	   2284.029	   2299.100	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:19	2289.800	2292.400	2289.200	2292.400	           1479	      4.000	   2270.233	   2271.371	   2283.852	   2299.024	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:20	2292.400	2292.400	2287.200	2289.800	           3033	      5.000	   2270.992	   2271.485	   2283.658	   2298.948	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:21	2290.000	2290.600	2288.000	2288.000	           1185	      6.000	   2271.712	   2271.633	   2283.453	   2298.863	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:22	2288.400	2289.400	2285.800	2288.200	           1865	      7.000	   2272.387	   2271.783	   2283.242	   2298.760	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:23	2288.000	2289.600	2287.000	2287.000	           1192	      8.000	   2273.046	   2271.927	   2283.008	   2298.652	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:24	2287.200	2289.800	2287.200	2289.000	           1113	      9.000	   2273.846	   2272.144	   2282.794	   2298.549	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:25	2289.000	2291.000	2287.400	2290.000	           1436	     10.000	   2274.642	   2272.367	   2282.600	   2298.450	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:26	2290.200	2294.400	2290.000	2293.400	           3042	     11.000	   2275.567	   2272.688	   2282.428	   2298.360	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:27	2293.400	2293.800	2292.200	2292.600	           1533	     12.000	   2276.462	   2273.017	   2282.247	   2298.273	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:28	2292.600	2296.600	2291.200	2296.600	           1958	     13.000	   2277.563	   2273.387	   2282.105	   2298.207	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:29	2296.000	2298.800	2293.600	2294.000	           4272	     14.000	   2278.767	   2273.688	   2281.949	   2298.132	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:30	2293.800	2294.200	2291.400	2291.400	           1640	     15.000	   2279.813	   2273.910	   2281.749	   2298.050	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:31	2291.000	2296.600	2290.200	2290.200	           3008	     16.000	   2280.792	   2274.106	   2281.545	   2297.955	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:32	2290.000	2292.600	2288.600	2289.800	           3017	     17.000	   2281.708	   2274.306	   2281.344	   2297.871	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:33	2289.600	2291.600	2288.600	2290.200	           1838	     18.000	   2282.583	   2274.512	   2281.146	   2297.778	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:34	2290.000	2290.600	2287.800	2289.800	           1795	     19.000	   2283.479	   2274.690	   2280.949	   2297.687	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:35	2289.000	2299.200	2288.600	2298.800	           5434	     20.000	   2284.587	   2275.077	   2280.828	   2297.636	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:36	2298.400	2300.200	2295.400	2300.200	           4789	     21.000	   2285.712	   2275.583	   2280.722	   2297.598	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:37	2300.600	2306.000	2300.600	2303.400	           7523	     22.000	   2286.854	   2276.221	   2280.644	   2297.557	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:38	2302.600	2307.000	2301.200	2306.000	           4447	     23.000	   2288.079	   2276.900	   2280.602	   2297.519	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:39	2306.000	2306.000	2298.800	2299.200	           4536	     24.000	   2289.087	   2277.460	   2280.502	   2297.456	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:40	2299.000	2299.000	2291.200	2292.000	           6851	     25.000	   2289.867	   2277.927	   2280.354	   2297.362	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:41	2292.000	2293.800	2289.000	2293.000	           3595	     26.000	   2290.575	   2278.371	   2280.216	   2297.268	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:42	2293.400	2293.800	2291.400	2293.000	           1742	     27.000	   2291.229	   2278.844	   2280.091	   2297.182	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:43	2293.400	2294.600	2290.000	2292.200	           2597	     28.000	   2291.813	   2279.302	   2279.955	   2297.090	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
