 08/27-09:50	2334.800	2336.200	2334.200	2336.200	           2208	     35.000	   2335.947	   2337.376	   2335.067	           	     -0.047	     -0.057	      0.162	      0.000	
 08/27-09:51	2336.400	2338.400	2336.400	2338.200	           4225	     36.000	   2335.980	   2337.380	   2335.162	           	      0.033	      0.004	      0.182	      0.000	
 08/27-09:52	2337.600	2338.400	2337.000	2338.400	           2389	     37.000	   2336.026	   2337.376	   2335.253	           	      0.046	     -0.004	      0.187	      0.000	
 08/27-09:53	2338.200	2339.600	2337.600	2339.400	           2948	     38.000	   2336.126	   2337.374	   2335.312	           	      0.100	     -0.003	      0.150	      0.000	
 08/27-09:54	2339.000	2341.000	2338.600	2339.800	           4544	     39.000	   2336.241	   2337.397	   2335.385	           	      0.115	      0.023	      0.132	      0.000	
 08/27-09:55	2339.800	2344.000	2338.600	2343.600	           6154	     40.000	   2336.506	   2337.483	   2335.492	           	      0.266	      0.086	      0.180	      0.000	
 08/27-09:56	2344.600	2344.800	2342.000	2342.600	           6285	     41.000	   2336.773	   2337.557	   2335.598	           	      0.267	      0.073	      0.213	      0.000	
 08/27-09:57	2342.800	2343.000	2340.000	2341.600	           4217	     42.000	   2336.959	   2337.610	   2335.715	           	      0.187	      0.053	      0.223	      0.000	
 08/27-09:58	2341.400	2343.200	2341.000	2342.000	           2477	     43.000	   2337.179	   2337.670	   2335.817	           	      0.220	      0.060	      0.218	      0.000	
 08/27-09:59	2342.200	2342.400	2340.000	2342.000	           3183	     44.000	   2337.406	   2337.717	   2335.912	           	      0.227	      0.047	      0.197	      0.000	
 08/27-10:00	2342.000	2342.800	2340.400	2340.800	           2408	     45.000	   2337.560	   2337.727	   2335.993	           	      0.154	      0.010	      0.177	      0.000	
 08/27-10:01	2341.200	2341.200	2339.400	2340.000	           2871	     46.000	   2337.720	   2337.717	   2336.075	           	      0.159	     -0.010	      0.163	      0.000	
 08/27-10:02	2340.000	2341.600	2339.600	2341.600	           1508	     47.000	   2337.820	   2337.733	   2336.195	           	      0.100	      0.017	      0.201	      0.000	
 08/27-10:03	2341.600	2343.200	2340.400	2342.000	           2736	     48.000	   2337.973	   2337.786	   2336.335	           	      0.153	      0.053	      0.260	      0.000	
 08/27-10:04	2341.800	2345.800	2340.200	2340.400	           6118	     49.000	   2338.020	   2337.827	   2336.465	           	      0.047	      0.040	      0.270	      0.000	
 08/27-10:05	2340.000	2340.600	2338.400	2339.000	           4388	     50.000	   2338.020	   2337.857	   2336.593	           	      0.000	      0.030	      0.258	      0.000	
 08/27-10:06	2338.800	2340.000	2338.200	2338.200	           2393	     51.000	   2337.993	   2337.846	   2336.703	           	     -0.027	     -0.010	      0.238	      0.000	
 08/27-10:07	2338.200	2339.800	2337.200	2339.400	           3399	     52.000	   2338.126	   2337.863	   2336.828	           	      0.133	      0.017	      0.235	      0.000	
 08/27-10:08	2339.400	2341.000	2339.200	2339.200	           1704	     53.000	   2338.160	   2337.854	   2336.952	           	      0.034	     -0.009	      0.249	      0.000	
 08/27-10:09	2339.000	2342.000	2339.000	2341.600	           2265	     54.000	   2338.267	   2337.864	   2337.102	           	      0.106	      0.010	      0.273	      0.000	
 08/27-10:10	2341.400	2344.400	2340.600	2343.000	           3748	     55.000	   2338.453	   2337.927	   2337.249	           	      0.187	      0.063	      0.297	      0.000	
 08/27-10:11	2343.000	2344.000	2341.600	2342.800	           2314	     56.000	   2338.679	   2337.996	   2337.372	           	      0.226	      0.070	      0.270	      0.000	
 08/27-10:12	2343.000	2344.600	2342.200	2343.200	           2448	     57.000	   2338.920	   2338.067	   2337.505	           	      0.240	      0.070	      0.257	      0.000	
 08/27-10:13	2343.400	2344.000	2342.000	2342.600	           1537	     58.000	   2339.167	   2338.124	   2337.595	           	      0.247	      0.057	      0.223	      0.000	
 08/27-10:14	2342.600	2344.000	2341.600	2343.000	           1794	     59.000	   2339.473	   2338.193	   2337.697	           	      0.306	      0.070	      0.191	      0.000	
 08/27-10:15	2343.400	2345.000	2343.000	2345.000	           2469	     60.000	   2339.940	   2338.277	   2337.808	           	      0.467	      0.083	      0.213	      0.000	
 08/27-10:16	2345.000	2346.600	2342.200	2342.400	           5940	     61.000	   2340.300	   2338.357	   2337.902	           	      0.360	      0.080	      0.205	      0.000	
 08/27-10:17	2342.600	2343.000	2340.600	2341.000	           4012	     62.000	   2340.567	   2338.407	   2337.968	           	      0.267	      0.050	      0.160	      0.000	
 08/27-10:18	2341.000	2342.000	2340.400	2341.400	           1930	     63.000	   2340.833	   2338.464	   2338.032	           	      0.267	      0.057	      0.130	      0.000	
 08/27-10:19	2341.400	2342.200	2341.000	2341.200	           1575	     64.000	   2341.053	   2338.523	   2338.098	           	      0.220	      0.060	      0.130	      0.000	
 08/27-10:20	2341.200	2342.200	2340.600	2341.200	           1710	     65.000	   2341.220	   2338.583	   2338.168	           	      0.167	      0.060	      0.136	      0.000	
 08/27-10:21	2341.600	2342.200	2341.000	2341.800	           1143	     66.000	   2341.340	   2338.660	   2338.240	           	      0.120	      0.077	      0.142	      0.000	
 08/27-10:22	2342.000	2343.000	2341.000	2342.000	           2290	     67.000	   2341.460	   2338.743	   2338.312	           	      0.121	      0.083	      0.144	      0.000	
 08/27-10:23	2342.200	2342.800	2340.000	2340.200	           2221	     68.000	   2341.487	   2338.806	   2338.362	           	      0.026	      0.063	      0.122	      0.000	
 08/27-10:24	2340.200	2342.000	2340.200	2340.800	           1798	     69.000	   2341.520	   2338.880	   2338.412	           	      0.033	      0.074	      0.100	      0.000	
 08/27-10:25	2341.000	2341.000	2338.000	2338.600	           3726	     70.000	   2341.353	   2338.930	   2338.438	           	     -0.167	      0.050	      0.077	      0.000	
 08/27-10:26	2338.800	2338.800	2336.400	2337.000	           4153	     71.000	   2341.167	   2338.970	   2338.427	           	     -0.186	      0.040	      0.015	      0.000	
 08/27-10:27	2337.200	2337.400	2334.200	2334.800	           4548	     72.000	   2340.941	   2338.950	   2338.403	           	     -0.226	     -0.020	     -0.035	      0.000	
 08/27-10:28	2335.200	2336.000	2334.600	2335.000	           2826	     73.000	   2340.707	   2338.943	   2338.378	           	     -0.233	     -0.007	     -0.048	      0.000	
 08/27-10:29	2335.200	2335.600	2334.200	2335.000	           2207	     74.000	   2340.474	   2338.940	   2338.355	           	     -0.233	     -0.003	     -0.048	      0.000	
