 09/18-09:48	2439.200	2439.200	2435.600	2435.800	            782	     33.000	           	           	   2437.067	   2436.763	   2440.430	           	           	     -0.167	      0.027	     -0.165	      0.000	
 09/18-09:49	2435.800	2436.000	2434.800	2435.800	            708	     34.000	           	           	   2436.926	   2436.803	   2440.302	           	           	     -0.141	      0.040	     -0.225	      0.000	
 09/18-09:50	2435.800	2436.000	2435.000	2435.000	            587	     35.000	           	           	   2436.800	   2436.773	   2440.178	           	           	     -0.126	     -0.030	     -0.252	      0.000	
 09/18-09:51	2435.000	2436.000	2434.800	2435.800	            314	     36.000	           	           	   2436.706	   2436.763	   2440.072	           	           	     -0.094	     -0.010	     -0.230	      0.000	
 09/18-09:52	2435.800	2436.000	2434.400	2435.000	            437	     37.000	           	           	   2436.640	   2436.786	   2439.960	           	           	     -0.067	      0.023	     -0.218	      0.000	
 09/18-09:53	2435.000	2435.400	2434.200	2434.600	            435	     38.000	           	           	   2436.553	   2436.777	   2439.857	           	           	     -0.086	     -0.010	     -0.215	      0.000	
 09/18-09:54	2434.800	2435.000	2431.600	2433.200	           1546	     39.000	           	           	   2436.421	   2436.777	   2439.753	           	           	     -0.132	      0.000	     -0.207	      0.000	
 09/18-09:55	2433.400	2434.600	2432.600	2433.200	            870	     40.000	           	           	   2436.327	   2436.757	   2439.648	           	           	     -0.094	     -0.020	     -0.208	      0.000	
 09/18-09:56	2432.800	2433.400	2431.800	2432.600	            818	     41.000	           	           	   2436.153	   2436.727	   2439.562	           	           	     -0.174	     -0.030	     -0.192	      0.000	
 09/18-09:57	2432.400	2432.400	2430.200	2431.000	           1070	     42.000	           	           	   2435.980	   2436.680	   2439.470	           	           	     -0.173	     -0.047	     -0.178	      0.000	
 09/18-09:58	2431.000	2431.400	2426.800	2428.800	           1462	     43.000	           	           	   2435.727	   2436.607	   2439.338	           	           	     -0.253	     -0.073	     -0.223	      0.000	
 09/18-09:59	2428.800	2432.600	2428.600	2432.000	           1383	     44.000	           	           	   2435.627	   2436.560	   2439.223	           	           	     -0.100	     -0.047	     -0.247	      0.000	
 09/18-10:00	2432.000	2432.000	2428.000	2428.800	            984	     45.000	           	           	   2435.413	   2436.463	   2439.088	           	           	     -0.215	     -0.097	     -0.250	      0.000	
 09/18-10:01	2429.000	2430.800	2428.800	2430.800	            567	     46.000	           	           	   2435.227	   2436.414	   2438.965	           	           	     -0.186	     -0.050	     -0.258	      0.000	
 09/18-10:02	2430.800	2432.200	2430.200	2430.600	            840	     47.000	           	           	   2435.026	   2436.370	   2438.832	           	           	     -0.201	     -0.044	     -0.257	      0.000	
 09/18-10:03	2430.800	2431.600	2429.400	2429.400	            524	     48.000	           	           	   2434.786	   2436.297	   2438.680	           	           	     -0.240	     -0.073	     -0.285	      0.000	
 09/18-10:04	2429.800	2431.000	2428.800	2431.000	            745	     49.000	           	           	   2434.660	   2436.233	   2438.552	           	           	     -0.126	     -0.063	     -0.280	      0.000	
 09/18-10:05	2431.000	2431.200	2430.000	2430.400	            507	     50.000	           	           	   2434.474	   2436.154	   2438.408	           	           	     -0.187	     -0.080	     -0.271	      0.000	
 09/18-10:06	2430.400	2431.200	2428.800	2430.400	            626	     51.000	           	           	   2434.327	   2436.073	   2438.217	           	           	     -0.147	     -0.080	     -0.335	      0.000	
 09/18-10:07	2430.000	2431.000	2428.800	2429.000	            512	     52.000	           	           	   2434.141	   2435.954	   2438.019	           	           	     -0.187	     -0.120	     -0.390	      0.000	
